"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","REACTOME pathway","R-DME-168256","Immune System","848","50","5.988","1.1092","0.15","0.239848619985464","0.620062775986586","1","0.666735473262724","1","Vha100-3,Pp2A-29B,hop,fw,CG1824,CG9095,CG9981,CG31445,CG32568,HERC2,crq,Arpc5,Trx-2,STUB1,Nepl7,Eato,Sos,Trpgamma,Pld3,CG43366,Spn42Db,hig,CG8878,Mdr49,Uba3,Ubc10,nopo,Meltrin,Slik,CG42360,dsb,eIF4E3,CG9452,ctrip,CG10086,FBXO11,CG32473,Npc2b,Pak3,CG31233,CG6656,eIF4G2,Lerp,trp,nej,Pten,Patj,cathD,Tor,SP1029","FBgn0028669,FBgn0260439,FBgn0004864,FBgn0001083,FBgn0030403,FBgn0030617,FBgn0030746,FBgn0051445,FBgn0052568,FBgn0031107,FBgn0015924,FBgn0031437,FBgn0040070,FBgn0027052,FBgn0032442,FBgn0028539,FBgn0001965,FBgn0032593,FBgn0032923,FBgn0263109,FBgn0033112,FBgn0010114,FBgn0027504,FBgn0004512,FBgn0263697,FBgn0026316,FBgn0034314,FBgn0265140,FBgn0035001,FBgn0259742,FBgn0035290,FBgn0265089,FBgn0036877,FBgn0260794,FBgn0037517,FBgn0037760,FBgn0052473,FBgn0038198,FBgn0044826,FBgn0051233,FBgn0038912,FBgn0260634,FBgn0051072,FBgn0003861,FBgn0261617,FBgn0026379,FBgn0067864,FBgn0029093,FBgn0021796,FBgn0263236"
"","REACTOME pathway","R-DME-162582","Signal Transduction","873","50","5.988","1.0774","0.108","0.309975316169893","0.5086728883529","1","0.682100352828951","1","Vha100-3,CG33310,Pp2A-29B,otu,hop,CG32568,RSG7,Ulp1,wry,Arpc5,CG34393,Parp,Lam,Cdk1,STUB1,Sos,neb,CG9265,scra,sax,CSN4,hig,Rpb5,CG8878,Spred,Cdk9,Slik,Usp5,Txl,scny,eIF4E3,app,Sox21a,Sox21b,CycT,Mi-2,gig,RhoBTB,ArfGAP3,Dop1R1,Pak3,faf,PlexB,PlexA,nej,Pten,spen,Tor,c(3)G,Su(z)12","FBgn0028669,FBgn0053310,FBgn0260439,FBgn0003023,FBgn0004864,FBgn0052568,FBgn0024941,FBgn0027603,FBgn0051665,FBgn0031437,FBgn0085422,FBgn0010247,FBgn0002525,FBgn0004106,FBgn0027052,FBgn0001965,FBgn0004374,FBgn0032910,FBgn0261385,FBgn0003317,FBgn0027054,FBgn0010114,FBgn0033571,FBgn0027504,FBgn0020767,FBgn0019949,FBgn0035001,FBgn0035402,FBgn0035631,FBgn0260936,FBgn0265089,FBgn0260941,FBgn0036411,FBgn0042630,FBgn0025455,FBgn0262519,FBgn0005198,FBgn0036980,FBgn0037182,FBgn0011582,FBgn0044826,FBgn0005632,FBgn0025740,FBgn0025741,FBgn0261617,FBgn0026379,FBgn0016977,FBgn0021796,FBgn0000246,FBgn0020887"
"","REACTOME pathway","R-DME-392499","Metabolism of proteins","968","50","5.988","0.9717","-0.041","0.60699316808551","0.216816197029292","1","0.850101075935819","1","otu,CG32202,RSG7,Ulp1,Parp,mRpS2,Trx-2,gny,Top2,nolo,Gp210,CG43366,Spn42Db,Pgant3,CSN4,Cul4,hig,CG9062,Mtor,CCT5,Uba3,calypso,Ubc10,adp,Mgat1,mRpL54,eIF2Bdelta,mu2,Usp5,Syx17,scny,eIF4E3,bmm,CG7275,Sec3,Grasp65,ArfGAP3,eIF3a,sas,FBXO11,mRpL11,Ino80,Sec15,Nup358,Tusp,faf,Pten,cathD,Nup214,CG42402","FBgn0003023,FBgn0052202,FBgn0024941,FBgn0027603,FBgn0010247,FBgn0031639,FBgn0040070,FBgn0032234,FBgn0284220,FBgn0051619,FBgn0266580,FBgn0263109,FBgn0033112,FBgn0027558,FBgn0027054,FBgn0033260,FBgn0010114,FBgn0033607,FBgn0013756,FBgn0010621,FBgn0263697,FBgn0262166,FBgn0026316,FBgn0000057,FBgn0034521,FBgn0034579,FBgn0034858,FBgn0002872,FBgn0035402,FBgn0035540,FBgn0260936,FBgn0265089,FBgn0036449,FBgn0036500,FBgn0266669,FBgn0036919,FBgn0037182,FBgn0037249,FBgn0002306,FBgn0037760,FBgn0038234,FBgn0086613,FBgn0266674,FBgn0039302,FBgn0039530,FBgn0005632,FBgn0026379,FBgn0029093,FBgn0010660,FBgn0259821"
"","REACTOME pathway","R-DME-1430728","Metabolism","1201","49","5.868","0.7675","-0.382","0.982795441757748","0.00753686646143959","1","0.995916876227144","1","CG30037,yl,CG14411,fiz,5PtaseI,r,crq,CG7115,Trx-2,Ca-alpha1D,Ugt36F1,CG9265,Pld3,Mondo,CG2201,CG43366,Spn42Db,ACC,CG4630,CG18609,sea,Gpat4,dsb,CG5687,CG5592,sfl,CG5653,CG5026,bmm,pip,CG9452,ND-39,ELOVL,CG8925,CG3534,CG6656,Ugt303B1,CG7601,CG15543,qless,nej,fal,Pten,Hs2st,l(3)02640,Men,schlank,Ugt302K1,CG34194","FBgn0050037,FBgn0004649,FBgn0030582,FBgn0030594,FBgn0259178,FBgn0003189,FBgn0015924,FBgn0027515,FBgn0040070,FBgn0001991,FBgn0027074,FBgn0032910,FBgn0032923,FBgn0032940,FBgn0032955,FBgn0263109,FBgn0033112,FBgn0033246,FBgn0033809,FBgn0034382,FBgn0037912,FBgn0034971,FBgn0035290,FBgn0035293,FBgn0035645,FBgn0020251,FBgn0035943,FBgn0035945,FBgn0036449,FBgn0003089,FBgn0036877,FBgn0037001,FBgn0037534,FBgn0038404,FBgn0038463,FBgn0038912,FBgn0039086,FBgn0027583,FBgn0039799,FBgn0051005,FBgn0261617,FBgn0028380,FBgn0026379,FBgn0024230,FBgn0010786,FBgn0002719,FBgn0040918,FBgn0040251,FBgn0085223"
"","REACTOME pathway","R-DME-74160","Gene expression (Transcription)","618","48","5.749","1.4611","0.547","0.00537945825593633","2.2692614582191","1","0.288953017374743","1","CG33310,mtRNApol,lilli,Parp,Trx-2,Cdk1,STUB1,Bdp1,CG7099,CG15160,lok,Hr39,Gp210,CG18011,Rpb5,E(Pc),Mtor,RpI1,Hr51,Cdk9,Chi,enok,dre4,defl,CG42588,Phs,CycT,Mi-2,gig,CG6808,MBD-R2,omd,tefu,osa,Dcr-1,polybromo,Nup358,His2Av,l(3)mbt,faf,sv,nej,DIP1,Nup214,Tor,Su(z)12,wek,hrg","FBgn0053310,FBgn0261938,FBgn0041111,FBgn0010247,FBgn0040070,FBgn0004106,FBgn0027052,FBgn0032512,FBgn0032517,FBgn0032688,FBgn0019686,FBgn0261239,FBgn0266580,FBgn0033491,FBgn0033571,FBgn0000581,FBgn0013756,FBgn0019938,FBgn0034012,FBgn0019949,FBgn0013764,FBgn0034975,FBgn0002183,FBgn0036038,FBgn0260965,FBgn0036522,FBgn0025455,FBgn0262519,FBgn0005198,FBgn0037921,FBgn0038016,FBgn0038168,FBgn0045035,FBgn0261885,FBgn0039016,FBgn0039227,FBgn0039302,FBgn0001197,FBgn0002441,FBgn0005632,FBgn0005561,FBgn0261617,FBgn0024807,FBgn0010660,FBgn0021796,FBgn0020887,FBgn0001990,FBgn0015949"
"","REACTOME pathway","R-DME-597592","Post-translational protein modification","693","38","4.551","1.0315","0.045","0.445193317746523","0.351451362952764","1","0.727998650330671","1","otu,CG32202,Ulp1,Parp,gny,Top2,nolo,Gp210,CG43366,Spn42Db,Pgant3,CSN4,Cul4,hig,CG9062,Mtor,Uba3,calypso,Ubc10,adp,Mgat1,mu2,Usp5,Syx17,scny,bmm,CG7275,Grasp65,ArfGAP3,sas,FBXO11,Ino80,Nup358,Tusp,faf,Pten,Nup214,CG42402","FBgn0003023,FBgn0052202,FBgn0027603,FBgn0010247,FBgn0032234,FBgn0284220,FBgn0051619,FBgn0266580,FBgn0263109,FBgn0033112,FBgn0027558,FBgn0027054,FBgn0033260,FBgn0010114,FBgn0033607,FBgn0013756,FBgn0263697,FBgn0262166,FBgn0026316,FBgn0000057,FBgn0034521,FBgn0002872,FBgn0035402,FBgn0035540,FBgn0260936,FBgn0036449,FBgn0036500,FBgn0036919,FBgn0037182,FBgn0002306,FBgn0037760,FBgn0086613,FBgn0039302,FBgn0039530,FBgn0005632,FBgn0026379,FBgn0010660,FBgn0259821"
"","REACTOME pathway","R-DME-73857","RNA Polymerase II Transcription","537","37","4.431","1.2962","0.374","0.0637893332755028","1.19525193706075","1","0.544424934363993","1","CG33310,lilli,Parp,Trx-2,Cdk1,STUB1,CG15160,lok,Hr39,CG18011,Rpb5,E(Pc),Hr51,Cdk9,Chi,enok,dre4,defl,Phs,CycT,Mi-2,gig,CG6808,MBD-R2,omd,tefu,osa,polybromo,His2Av,l(3)mbt,faf,sv,nej,Tor,Su(z)12,wek,hrg","FBgn0053310,FBgn0041111,FBgn0010247,FBgn0040070,FBgn0004106,FBgn0027052,FBgn0032688,FBgn0019686,FBgn0261239,FBgn0033491,FBgn0033571,FBgn0000581,FBgn0034012,FBgn0019949,FBgn0013764,FBgn0034975,FBgn0002183,FBgn0036038,FBgn0036522,FBgn0025455,FBgn0262519,FBgn0005198,FBgn0037921,FBgn0038016,FBgn0038168,FBgn0045035,FBgn0261885,FBgn0039227,FBgn0001197,FBgn0002441,FBgn0005632,FBgn0005561,FBgn0261617,FBgn0021796,FBgn0020887,FBgn0001990,FBgn0015949"
"","REACTOME pathway","R-DME-212436","Generic Transcription Pathway","441","32","3.832","1.365","0.449","0.0461386996543691","1.33593464953946","1","0.520375452884638","1","CG33310,Parp,Trx-2,Cdk1,STUB1,lok,Hr39,CG18011,Rpb5,E(Pc),Hr51,Cdk9,Chi,enok,dre4,Phs,CycT,Mi-2,gig,CG6808,MBD-R2,tefu,osa,polybromo,His2Av,l(3)mbt,faf,sv,nej,Tor,Su(z)12,wek","FBgn0053310,FBgn0010247,FBgn0040070,FBgn0004106,FBgn0027052,FBgn0019686,FBgn0261239,FBgn0033491,FBgn0033571,FBgn0000581,FBgn0034012,FBgn0019949,FBgn0013764,FBgn0034975,FBgn0002183,FBgn0036522,FBgn0025455,FBgn0262519,FBgn0005198,FBgn0037921,FBgn0038016,FBgn0045035,FBgn0261885,FBgn0039227,FBgn0001197,FBgn0002441,FBgn0005632,FBgn0005561,FBgn0261617,FBgn0021796,FBgn0020887,FBgn0001990"
"","REACTOME pathway","R-DME-168249","Innate Immune System","650","32","3.832","0.9261","-0.111","0.701129375217785","0.154201836870803","1","0.892744790275264","1","Vha100-3,Pp2A-29B,fw,CG9095,CG9981,CG31445,crq,Arpc5,Trx-2,Nepl7,Eato,Sos,Pld3,CG43366,Spn42Db,hig,CG8878,Meltrin,Slik,CG42360,dsb,CG9452,CG10086,CG32473,Npc2b,Pak3,CG31233,CG6656,Lerp,nej,cathD,SP1029","FBgn0028669,FBgn0260439,FBgn0001083,FBgn0030617,FBgn0030746,FBgn0051445,FBgn0015924,FBgn0031437,FBgn0040070,FBgn0032442,FBgn0028539,FBgn0001965,FBgn0032923,FBgn0263109,FBgn0033112,FBgn0010114,FBgn0027504,FBgn0265140,FBgn0035001,FBgn0259742,FBgn0035290,FBgn0036877,FBgn0037517,FBgn0052473,FBgn0038198,FBgn0044826,FBgn0051233,FBgn0038912,FBgn0051072,FBgn0261617,FBgn0029093,FBgn0263236"
"","REACTOME pathway","R-DME-556833","Metabolism of lipids","447","27","3.234","1.1363","0.184","0.272439637454463","0.56472970632083","1","0.682100352828951","1","CG30037,CG14411,CG7115,Ugt36F1,CG9265,CG2201,CG43366,Spn42Db,ACC,CG4630,CG18609,sea,Gpat4,CG5592,CG5026,bmm,CG9452,ELOVL,CG8925,CG6656,Ugt303B1,CG7601,nej,Pten,schlank,Ugt302K1,CG34194","FBgn0050037,FBgn0030582,FBgn0027515,FBgn0027074,FBgn0032910,FBgn0032955,FBgn0263109,FBgn0033112,FBgn0033246,FBgn0033809,FBgn0034382,FBgn0037912,FBgn0034971,FBgn0035645,FBgn0035945,FBgn0036449,FBgn0036877,FBgn0037534,FBgn0038404,FBgn0038912,FBgn0039086,FBgn0027583,FBgn0261617,FBgn0026379,FBgn0040918,FBgn0040251,FBgn0085223"
