"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","REACTOME pathway","R-DME-376172","DSCAM interactions","9","4","0.727","12.6933","3.666","0.000162796042604195","3.78835615654786","0.105654631650123","0.105654631650123","0.745226344034237","Dscam4,Dscam2,p38a,Pak","FBgn0263219,FBgn0265296,FBgn0015765,FBgn0267698"
"","REACTOME pathway","R-DME-373752","Netrin-1 signaling","14","4","0.727","8.16","3.029","0.00112449819861034","2.94904123594575","0.729799330898112","0.332481472554144","1","Dscam4,Dscam2,p38a,Pak","FBgn0263219,FBgn0265296,FBgn0015765,FBgn0267698"
"","REACTOME pathway","R-DME-525793","Myogenesis","16","4","0.727","7.14","2.836","0.0019337531276252","2.7135989708702","1","0.332481472554144","1","ihog,p38a,syd,Abl","FBgn0031872,FBgn0015765,FBgn0024187,FBgn0000017"
"","REACTOME pathway","R-DME-69231","Cyclin D associated events in G1","28","5","0.909","5.1","2.35","0.00260378380328649","2.58439507883565","1","0.332481472554144","1","Cks30A,Skp2,Abl,mts,tws","FBgn0010314,FBgn0037236,FBgn0000017,FBgn0004177,FBgn0004889"
"","REACTOME pathway","R-DME-69236","G1 Phase","28","5","0.909","5.1","2.35","0.00260378380328649","2.58439507883565","1","0.332481472554144","1","Cks30A,Skp2,Abl,mts,tws","FBgn0010314,FBgn0037236,FBgn0000017,FBgn0004177,FBgn0004889"
"","REACTOME pathway","R-DME-426496","Post-transcriptional silencing by small RNAs","3","2","0.364","19.04","4.251","0.0035860867609846","2.44537920742274","1","0.332481472554144","1","AGO1,gw","FBgn0262739,FBgn0051992"
"","REACTOME pathway","R-DME-5620924","Intraflagellar transport","3","2","0.364","19.04","4.251","0.0035860867609846","2.44537920742274","1","0.332481472554144","1","Tnpo,Kif3C","FBgn0024921,FBgn0039925"
"","REACTOME pathway","R-DME-5578749","Transcriptional regulation by small RNAs","32","5","0.909","4.4625","2.158","0.00475614015866203","2.32274535564363","1","0.342970551441296","1","Nup153,Nup188,AGO1,gw,msk","FBgn0061200,FBgn0033766,FBgn0262739,FBgn0051992,FBgn0026252"
"","REACTOME pathway","R-DME-5675221","Negative regulation of MAPK pathway","32","5","0.909","4.4625","2.158","0.00475614015866203","2.32274535564363","1","0.342970551441296","1","PTP-ER,Ptpmeg,puc,p38a,mts","FBgn0016641,FBgn0261985,FBgn0243512,FBgn0015765,FBgn0004177"
"","REACTOME pathway","R-DME-5683057","MAPK family signaling cascades","149","12","2.182","2.3001","1.202","0.00618809111506101","2.20844330026083","1","0.40160711336746","1","CG7369,PDZ-GEF,CG13398,cnk,PTP-ER,Ptpmeg,puc,p38a,Nf1,Pak,Shc,mts","FBgn0037188,FBgn0265778,FBgn0032042,FBgn0286070,FBgn0016641,FBgn0261985,FBgn0243512,FBgn0015765,FBgn0015269,FBgn0267698,FBgn0015296,FBgn0004177"
