"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","REACTOME pathway","R-DME-392499","Metabolism of proteins","968","100","10.537","1.7099","0.774","6.70632746117751e-8","7.17351524435929","0.0000433228753992067","0.00000254840443524746","0.0000179631650559316","RpL36,RpL22,sta,RpL35,Usp30,RpL17,RpS6,RpS28b,mRpS23,RpL37a,eIF2alpha,RpS19a,RpS10b,Rpt6,RpLP1,Der-1,RpS21,RpL15,CG40045,RpL5,RpL38,Pgant2,mmy,RpL36A,RpS13,mRpL51,Acer,RpS2,RpL13,RpL7,Ubc2,RpL9,RpS26,RpL21,CSN7,RpL31,Prosalpha7,eEF1alpha1,PI31,RpS11,Den1,Nup54,eIF3m,Usp20-33,RpLP2,RpL18A,RpL11,RpS18,GM130,RpS16,RpL23,eEF5,betaTub60D,Prosalpha4T2,key,RpL19,FucTD,RpL23A,Mul1,eIF4E4,RpL18,eIF4E5,RpL14,RpS17,Uch-L5,Ubc4,OXA1L,RpL10Ab,RpL26,alphaSnap,RpLP0,RpL13A,alphaTub84D,Prosbeta3,hyx,betaTub85D,RpS29,CG7265,GATAe,CG5863,RpS20,RpS3,Rpn9,Miro,RpS27,RpL4,CG10000,RpL32,RpL6,eEF1alpha2,RpS3A,mav,RpL30,RpS15Aa,Sec13,Spn43Aa,RpL12,RpS14a,Spn55B,mRpL36","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029819,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0260407,FBgn0030616,FBgn0261609,FBgn0010412,FBgn0285947,FBgn0020369,FBgn0002593,FBgn0267972,FBgn0015521,FBgn0028697,FBgn0058045,FBgn0064225,FBgn0040007,FBgn0031530,FBgn0259749,FBgn0031980,FBgn0010265,FBgn0032053,FBgn0016122,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015320,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0028836,FBgn0285949,FBgn0023175,FBgn0284245,FBgn0033669,FBgn0033699,FBgn0033716,FBgn0033737,FBgn0033902,FBgn0033916,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034697,FBgn0034743,FBgn0010078,FBgn0285952,FBgn0003888,FBgn0017556,FBgn0041205,FBgn0285950,FBgn0035217,FBgn0026372,FBgn0035483,FBgn0035709,FBgn0035753,FBgn0035823,FBgn0017579,FBgn0005533,FBgn0011327,FBgn0015321,FBgn0027615,FBgn0036213,FBgn0036825,FBgn0250791,FBgn0000100,FBgn0037351,FBgn0003885,FBgn0026380,FBgn0037657,FBgn0003889,FBgn0261599,FBgn0038272,FBgn0038391,FBgn0038507,FBgn0019936,FBgn0002622,FBgn0028691,FBgn0039140,FBgn0039300,FBgn0003279,FBgn0039596,FBgn0002626,FBgn0039857,FBgn0000557,FBgn0017545,FBgn0039914,FBgn0086710,FBgn0010198,FBgn0024509,FBgn0024294,FBgn0034968,FBgn0004403,FBgn0028983,FBgn0042112"
"","REACTOME pathway","R-DME-1430728","Metabolism","1201","86","9.062","1.1853","0.245","0.0539851461764573","1.26772571834359","1","0.557023533889119","1","COX2,ATP6,ND5,ND4,ND1,bwa,CG3823,Ldsdh1,CG31141,Paics,GstT4,MagR,Adi1,CG7322,COX6B,GstT3,Rpt6,Plc21C,Got2,CG2964,CG17691,Naprt,Gs1l,Gpdh1,COX5BL,CG5958,LKRSDH,Acbp1,Agpat2,Mtpalpha,yip2,CG5037,ND-B22,Cyt-c-d,Cyt-c-p,COX4,Rpe,Lpin,Cyp4e2,Pgi,CG8080,Prosalpha7,PI31,GalT1,Drep1,GLS,CG9010,Ugt49C1,CG3788,sotv,levy,Fatp3,Prosalpha4T2,ND-19,CG3829,FucTD,Pxn,CG10863,Snmp2,ATPsynB,ND-13B,CG17029,Mipp1,UQCR-C2,Naxd,tzn,CG9391,pyd3,COX7AL,Prosbeta3,CG14694,Mdh2,ATPsynCF6,Rpn9,SdhD,CG11089,CIA30,CG7834,CG12069,ND-23,ND-PDSW,Spn43Aa,ATPsynG,ND-SGDH,Sam-S,Spn55B","FBgn0013675,FBgn0013672,FBgn0013684,FBgn0262952,FBgn0013679,FBgn0045064,FBgn0029863,FBgn0029994,FBgn0051141,FBgn0020513,FBgn0030484,FBgn0026666,FBgn0052068,FBgn0030968,FBgn0031066,FBgn0031117,FBgn0020369,FBgn0004611,FBgn0001125,FBgn0031462,FBgn0039993,FBgn0031589,FBgn0019982,FBgn0001128,FBgn0031831,FBgn0031913,FBgn0286198,FBgn0031992,FBgn0026718,FBgn0028479,FBgn0040064,FBgn0032222,FBgn0032511,FBgn0086907,FBgn0284248,FBgn0032833,FBgn0050499,FBgn0263593,FBgn0014469,FBgn0003074,FBgn0033373,FBgn0023175,FBgn0033669,FBgn0053145,FBgn0024732,FBgn0261625,FBgn0034173,FBgn0034605,FBgn0034800,FBgn0029175,FBgn0034877,FBgn0034999,FBgn0017556,FBgn0035046,FBgn0035091,FBgn0035217,FBgn0011828,FBgn0027552,FBgn0035815,FBgn0019644,FBgn0047038,FBgn0036551,FBgn0026061,FBgn0250814,FBgn0036848,FBgn0037024,FBgn0037063,FBgn0037513,FBgn0037579,FBgn0026380,FBgn0037845,FBgn0262559,FBgn0016119,FBgn0028691,FBgn0039112,FBgn0039241,FBgn0039689,FBgn0039697,FBgn0039796,FBgn0017567,FBgn0021967,FBgn0024294,FBgn0010612,FBgn0011455,FBgn0005278,FBgn0028983"
"","REACTOME pathway","R-DME-8953854","Metabolism of RNA","472","67","7.06","2.3496","1.232","4.61968304583574e-11","10.3353878201509","2.98431524760989e-8","1.98954349840659e-9","1.40238722525857e-8","RpL36,RpL22,sta,RpL35,RpL17,RpS6,RpS28b,RpL37a,RpS19a,RpS10b,Rpt6,RpLP1,Cwc25,RpS21,RpL15,RpL5,RpL38,RpL36A,RpS13,RpS2,RpL13,RpL7,RpL9,RpS26,RpL21,RpL31,Prosalpha7,CG12343,PI31,RpS11,Nup54,RpLP2,RpL18A,RpL11,RpS18,CG9344,RpS16,RpL23,Prosalpha4T2,RpL19,RpL23A,eIF4E4,RpL18,eIF4E5,RpL14,RpS17,RpL10Ab,RpL26,RpLP0,RpL13A,Prosbeta3,RpS29,CG14718,mdlc,RpS20,RpS3,Rpn9,RpS27,RpL4,RpL32,RpL6,RpS3A,RpL30,RpS15Aa,Sec13,RpL12,RpS14a","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0030616,FBgn0010412,FBgn0285947,FBgn0020369,FBgn0002593,FBgn0031452,FBgn0015521,FBgn0028697,FBgn0064225,FBgn0040007,FBgn0031980,FBgn0010265,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0285949,FBgn0023175,FBgn0033556,FBgn0033669,FBgn0033699,FBgn0033737,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034564,FBgn0034743,FBgn0010078,FBgn0017556,FBgn0285950,FBgn0026372,FBgn0035709,FBgn0035753,FBgn0035823,FBgn0017579,FBgn0005533,FBgn0036213,FBgn0036825,FBgn0000100,FBgn0037351,FBgn0026380,FBgn0261599,FBgn0037939,FBgn0038772,FBgn0019936,FBgn0002622,FBgn0028691,FBgn0039300,FBgn0003279,FBgn0002626,FBgn0039857,FBgn0017545,FBgn0086710,FBgn0010198,FBgn0024509,FBgn0034968,FBgn0004403"
"","REACTOME pathway","R-DME-72766","Translation","214","62","6.533","4.7955","2.262","1e-25","25","6.46e-23","6.46e-24","4.55351766997101e-23","RpL36,RpL22,sta,RpL35,RpL17,RpS6,RpS28b,mRpS23,RpL37a,eIF2alpha,RpS19a,RpS10b,RpLP1,RpS21,RpL15,RpL5,RpL38,RpL36A,RpS13,mRpL51,RpS2,RpL13,RpL7,RpL9,RpS26,RpL21,RpL31,eEF1alpha1,RpS11,eIF3m,RpLP2,RpL18A,RpL11,RpS18,RpS16,RpL23,RpL19,RpL23A,eIF4E4,RpL18,eIF4E5,RpL14,RpS17,OXA1L,RpL10Ab,RpL26,RpLP0,RpL13A,RpS29,RpS20,RpS3,RpS27,RpL4,RpL32,RpL6,eEF1alpha2,RpS3A,RpL30,RpS15Aa,RpL12,RpS14a,mRpL36","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0260407,FBgn0030616,FBgn0261609,FBgn0010412,FBgn0285947,FBgn0002593,FBgn0015521,FBgn0028697,FBgn0064225,FBgn0040007,FBgn0031980,FBgn0010265,FBgn0032053,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0285949,FBgn0284245,FBgn0033699,FBgn0033902,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034743,FBgn0010078,FBgn0285950,FBgn0026372,FBgn0035709,FBgn0035753,FBgn0035823,FBgn0017579,FBgn0005533,FBgn0027615,FBgn0036213,FBgn0036825,FBgn0000100,FBgn0037351,FBgn0261599,FBgn0019936,FBgn0002622,FBgn0039300,FBgn0003279,FBgn0002626,FBgn0039857,FBgn0000557,FBgn0017545,FBgn0086710,FBgn0010198,FBgn0034968,FBgn0004403,FBgn0042112"
"","REACTOME pathway","R-DME-156827","L13a-mediated translational silencing of Ceruloplasmin expression","104","56","5.901","8.9127","3.156","1e-25","25","6.46e-23","6.46e-24","4.55351766997101e-23","RpL36,RpL22,sta,RpL35,RpL17,RpS6,RpS28b,RpL37a,eIF2alpha,RpS19a,RpS10b,RpLP1,RpS21,RpL15,RpL5,RpL38,RpL36A,RpS13,RpS2,RpL13,RpL7,RpL9,RpS26,RpL21,RpL31,RpS11,eIF3m,RpLP2,RpL18A,RpL11,RpS18,RpS16,RpL23,RpL19,RpL23A,eIF4E4,RpL18,eIF4E5,RpL14,RpS17,RpL10Ab,RpL26,RpLP0,RpL13A,RpS29,RpS20,RpS3,RpS27,RpL4,RpL32,RpL6,RpS3A,RpL30,RpS15Aa,RpL12,RpS14a","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0030616,FBgn0261609,FBgn0010412,FBgn0285947,FBgn0002593,FBgn0015521,FBgn0028697,FBgn0064225,FBgn0040007,FBgn0031980,FBgn0010265,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0285949,FBgn0033699,FBgn0033902,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034743,FBgn0010078,FBgn0285950,FBgn0026372,FBgn0035709,FBgn0035753,FBgn0035823,FBgn0017579,FBgn0005533,FBgn0036213,FBgn0036825,FBgn0000100,FBgn0037351,FBgn0261599,FBgn0019936,FBgn0002622,FBgn0039300,FBgn0003279,FBgn0002626,FBgn0039857,FBgn0017545,FBgn0086710,FBgn0010198,FBgn0034968,FBgn0004403"
"","REACTOME pathway","R-DME-72613","Eukaryotic Translation Initiation","112","56","5.901","8.2761","3.049","1e-25","25","6.46e-23","6.46e-24","4.55351766997101e-23","RpL36,RpL22,sta,RpL35,RpL17,RpS6,RpS28b,RpL37a,eIF2alpha,RpS19a,RpS10b,RpLP1,RpS21,RpL15,RpL5,RpL38,RpL36A,RpS13,RpS2,RpL13,RpL7,RpL9,RpS26,RpL21,RpL31,RpS11,eIF3m,RpLP2,RpL18A,RpL11,RpS18,RpS16,RpL23,RpL19,RpL23A,eIF4E4,RpL18,eIF4E5,RpL14,RpS17,RpL10Ab,RpL26,RpLP0,RpL13A,RpS29,RpS20,RpS3,RpS27,RpL4,RpL32,RpL6,RpS3A,RpL30,RpS15Aa,RpL12,RpS14a","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0030616,FBgn0261609,FBgn0010412,FBgn0285947,FBgn0002593,FBgn0015521,FBgn0028697,FBgn0064225,FBgn0040007,FBgn0031980,FBgn0010265,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0285949,FBgn0033699,FBgn0033902,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034743,FBgn0010078,FBgn0285950,FBgn0026372,FBgn0035709,FBgn0035753,FBgn0035823,FBgn0017579,FBgn0005533,FBgn0036213,FBgn0036825,FBgn0000100,FBgn0037351,FBgn0261599,FBgn0019936,FBgn0002622,FBgn0039300,FBgn0003279,FBgn0002626,FBgn0039857,FBgn0017545,FBgn0086710,FBgn0010198,FBgn0034968,FBgn0004403"
"","REACTOME pathway","R-DME-72737","Cap-dependent Translation Initiation","112","56","5.901","8.2761","3.049","1e-25","25","6.46e-23","6.46e-24","4.55351766997101e-23","RpL36,RpL22,sta,RpL35,RpL17,RpS6,RpS28b,RpL37a,eIF2alpha,RpS19a,RpS10b,RpLP1,RpS21,RpL15,RpL5,RpL38,RpL36A,RpS13,RpS2,RpL13,RpL7,RpL9,RpS26,RpL21,RpL31,RpS11,eIF3m,RpLP2,RpL18A,RpL11,RpS18,RpS16,RpL23,RpL19,RpL23A,eIF4E4,RpL18,eIF4E5,RpL14,RpS17,RpL10Ab,RpL26,RpLP0,RpL13A,RpS29,RpS20,RpS3,RpS27,RpL4,RpL32,RpL6,RpS3A,RpL30,RpS15Aa,RpL12,RpS14a","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0030616,FBgn0261609,FBgn0010412,FBgn0285947,FBgn0002593,FBgn0015521,FBgn0028697,FBgn0064225,FBgn0040007,FBgn0031980,FBgn0010265,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0285949,FBgn0033699,FBgn0033902,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034743,FBgn0010078,FBgn0285950,FBgn0026372,FBgn0035709,FBgn0035753,FBgn0035823,FBgn0017579,FBgn0005533,FBgn0036213,FBgn0036825,FBgn0000100,FBgn0037351,FBgn0261599,FBgn0019936,FBgn0002622,FBgn0039300,FBgn0003279,FBgn0002626,FBgn0039857,FBgn0017545,FBgn0086710,FBgn0010198,FBgn0034968,FBgn0004403"
"","REACTOME pathway","R-DME-72689","Formation of a pool of free 40S subunits","90","53","5.585","9.7474","3.285","1e-25","25","6.46e-23","6.46e-24","4.55351766997101e-23","RpL36,RpL22,sta,RpL35,RpL17,RpS6,RpS28b,RpL37a,RpS19a,RpS10b,RpLP1,RpS21,RpL15,RpL5,RpL38,RpL36A,RpS13,RpS2,RpL13,RpL7,RpL9,RpS26,RpL21,RpL31,RpS11,eIF3m,RpLP2,RpL18A,RpL11,RpS18,RpS16,RpL23,RpL19,RpL23A,RpL18,RpL14,RpS17,RpL10Ab,RpL26,RpLP0,RpL13A,RpS29,RpS20,RpS3,RpS27,RpL4,RpL32,RpL6,RpS3A,RpL30,RpS15Aa,RpL12,RpS14a","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0030616,FBgn0010412,FBgn0285947,FBgn0002593,FBgn0015521,FBgn0028697,FBgn0064225,FBgn0040007,FBgn0031980,FBgn0010265,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0285949,FBgn0033699,FBgn0033902,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034743,FBgn0010078,FBgn0285950,FBgn0026372,FBgn0035753,FBgn0017579,FBgn0005533,FBgn0036213,FBgn0036825,FBgn0000100,FBgn0037351,FBgn0261599,FBgn0019936,FBgn0002622,FBgn0039300,FBgn0003279,FBgn0002626,FBgn0039857,FBgn0017545,FBgn0086710,FBgn0010198,FBgn0034968,FBgn0004403"
"","REACTOME pathway","R-DME-1799339","SRP-dependent cotranslational protein targeting to membrane","82","52","5.479","10.4965","3.392","1e-25","25","6.46e-23","6.46e-24","4.55351766997101e-23","RpL36,RpL22,sta,RpL35,RpL17,RpS6,RpS28b,RpL37a,RpS19a,RpS10b,RpLP1,RpS21,RpL15,RpL5,RpL38,RpL36A,RpS13,RpS2,RpL13,RpL7,RpL9,RpS26,RpL21,RpL31,RpS11,RpLP2,RpL18A,RpL11,RpS18,RpS16,RpL23,RpL19,RpL23A,RpL18,RpL14,RpS17,RpL10Ab,RpL26,RpLP0,RpL13A,RpS29,RpS20,RpS3,RpS27,RpL4,RpL32,RpL6,RpS3A,RpL30,RpS15Aa,RpL12,RpS14a","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0030616,FBgn0010412,FBgn0285947,FBgn0002593,FBgn0015521,FBgn0028697,FBgn0064225,FBgn0040007,FBgn0031980,FBgn0010265,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0285949,FBgn0033699,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034743,FBgn0010078,FBgn0285950,FBgn0026372,FBgn0035753,FBgn0017579,FBgn0005533,FBgn0036213,FBgn0036825,FBgn0000100,FBgn0037351,FBgn0261599,FBgn0019936,FBgn0002622,FBgn0039300,FBgn0003279,FBgn0002626,FBgn0039857,FBgn0017545,FBgn0086710,FBgn0010198,FBgn0034968,FBgn0004403"
"","REACTOME pathway","R-DME-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","77","52","5.479","11.1781","3.483","1e-25","25","6.46e-23","6.46e-24","4.55351766997101e-23","RpL36,RpL22,sta,RpL35,RpL17,RpS6,RpS28b,RpL37a,RpS19a,RpS10b,RpLP1,RpS21,RpL15,RpL5,RpL38,RpL36A,RpS13,RpS2,RpL13,RpL7,RpL9,RpS26,RpL21,RpL31,RpS11,RpLP2,RpL18A,RpL11,RpS18,RpS16,RpL23,RpL19,RpL23A,RpL18,RpL14,RpS17,RpL10Ab,RpL26,RpLP0,RpL13A,RpS29,RpS20,RpS3,RpS27,RpL4,RpL32,RpL6,RpS3A,RpL30,RpS15Aa,RpL12,RpS14a","FBgn0002579,FBgn0015288,FBgn0003517,FBgn0029785,FBgn0029897,FBgn0261592,FBgn0030136,FBgn0030616,FBgn0010412,FBgn0285947,FBgn0002593,FBgn0015521,FBgn0028697,FBgn0064225,FBgn0040007,FBgn0031980,FBgn0010265,FBgn0004867,FBgn0011272,FBgn0005593,FBgn0015756,FBgn0261597,FBgn0032987,FBgn0285949,FBgn0033699,FBgn0003274,FBgn0010409,FBgn0013325,FBgn0010411,FBgn0034743,FBgn0010078,FBgn0285950,FBgn0026372,FBgn0035753,FBgn0017579,FBgn0005533,FBgn0036213,FBgn0036825,FBgn0000100,FBgn0037351,FBgn0261599,FBgn0019936,FBgn0002622,FBgn0039300,FBgn0003279,FBgn0002626,FBgn0039857,FBgn0017545,FBgn0086710,FBgn0010198,FBgn0034968,FBgn0004403"
