"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","REACTOME pathway","R-DME-1640170","Cell Cycle","272","62","3.13","1.8074","0.854","0.00000200142608568924","5.69866044411498","0.00198541467700373","0.00198541467700373","0.0148458245222694","Mcm6,CG12096,Ubi-p5E,Elys,vtd,SA,Prosalpha6,RpS27A,aurB,Nup160,CycE,twe,fzy,barr,Mcm10,BubR1,geminin,Nup50,dap,pds5,Cap-G,Nup62,Nup75,mip40,Prosalpha3,Rae1,CycB,Rpn8,mad2,Rcc1,Ist1,eco,CycA,endos,DNApol-delta,nudC,bora,Rad9,Rpn1,polo,Hus1-like,Prosbeta7,Rpn5,CG10055,aurA,Prosalpha2,mbo,CG9588,Rad17,Caf1-55,14-3-3epsilon,Prosalpha4T1,Nup133,Rpt5,Nup98-96,spas,ball,DNApol-alpha73,Rpn2,cutlet,mud,mr","FBgn0025815,FBgn0030457,FBgn0086558,FBgn0031052,FBgn0260987,FBgn0020616,FBgn0250843,FBgn0003942,FBgn0024227,FBgn0262647,FBgn0010382,FBgn0002673,FBgn0001086,FBgn0014127,FBgn0032929,FBgn0263855,FBgn0033081,FBgn0033264,FBgn0010316,FBgn0260012,FBgn0259876,FBgn0034118,FBgn0034310,FBgn0034430,FBgn0261394,FBgn0034646,FBgn0000405,FBgn0002787,FBgn0035640,FBgn0002638,FBgn0035715,FBgn0035766,FBgn0000404,FBgn0061515,FBgn0263600,FBgn0021768,FBgn0259791,FBgn0025807,FBgn0028695,FBgn0003124,FBgn0026417,FBgn0250746,FBgn0028690,FBgn0037482,FBgn0000147,FBgn0086134,FBgn0026207,FBgn0038166,FBgn0025808,FBgn0263979,FBgn0020238,FBgn0265606,FBgn0039004,FBgn0028684,FBgn0039120,FBgn0039141,FBgn0027889,FBgn0005696,FBgn0028692,FBgn0015376,FBgn0002873,FBgn0002791"
"","REACTOME pathway","R-DME-68886","M Phase","148","39","1.969","2.0895","1.063","0.0000044316990837635","5.35342973625295","0.00439624549109339","0.0021981227455467","0.0164363369208306","CG12096,Ubi-p5E,Elys,vtd,SA,Prosalpha6,RpS27A,Nup160,fzy,barr,Nup50,pds5,Cap-G,Nup62,Nup75,Prosalpha3,Rae1,CycB,Rpn8,Rcc1,Ist1,endos,nudC,Rpn1,polo,Prosbeta7,Rpn5,Prosalpha2,mbo,CG9588,Prosalpha4T1,Nup133,Rpt5,Nup98-96,spas,ball,Rpn2,mud,mr","FBgn0030457,FBgn0086558,FBgn0031052,FBgn0260987,FBgn0020616,FBgn0250843,FBgn0003942,FBgn0262647,FBgn0001086,FBgn0014127,FBgn0033264,FBgn0260012,FBgn0259876,FBgn0034118,FBgn0034310,FBgn0261394,FBgn0034646,FBgn0000405,FBgn0002787,FBgn0002638,FBgn0035715,FBgn0061515,FBgn0021768,FBgn0028695,FBgn0003124,FBgn0250746,FBgn0028690,FBgn0086134,FBgn0026207,FBgn0038166,FBgn0265606,FBgn0039004,FBgn0028684,FBgn0039120,FBgn0039141,FBgn0027889,FBgn0028692,FBgn0002873,FBgn0002791"
"","REACTOME pathway","R-DME-69278","Cell Cycle, Mitotic","254","56","2.827","1.7482","0.806","0.000017397834383158","4.75950480769314","0.0172586517080927","0.00575288390269757","0.0430168598558599","Mcm6,CG12096,Ubi-p5E,Elys,vtd,SA,Prosalpha6,RpS27A,aurB,Nup160,CycE,twe,fzy,barr,Mcm10,BubR1,geminin,Nup50,dap,pds5,Cap-G,Nup62,Nup75,mip40,Prosalpha3,Rae1,CycB,Rpn8,mad2,Rcc1,Ist1,eco,CycA,endos,DNApol-delta,nudC,bora,Rpn1,polo,Prosbeta7,Rpn5,aurA,Prosalpha2,mbo,CG9588,Caf1-55,Prosalpha4T1,Nup133,Rpt5,Nup98-96,spas,ball,DNApol-alpha73,Rpn2,mud,mr","FBgn0025815,FBgn0030457,FBgn0086558,FBgn0031052,FBgn0260987,FBgn0020616,FBgn0250843,FBgn0003942,FBgn0024227,FBgn0262647,FBgn0010382,FBgn0002673,FBgn0001086,FBgn0014127,FBgn0032929,FBgn0263855,FBgn0033081,FBgn0033264,FBgn0010316,FBgn0260012,FBgn0259876,FBgn0034118,FBgn0034310,FBgn0034430,FBgn0261394,FBgn0034646,FBgn0000405,FBgn0002787,FBgn0035640,FBgn0002638,FBgn0035715,FBgn0035766,FBgn0000404,FBgn0061515,FBgn0263600,FBgn0021768,FBgn0259791,FBgn0028695,FBgn0003124,FBgn0250746,FBgn0028690,FBgn0000147,FBgn0086134,FBgn0026207,FBgn0038166,FBgn0263979,FBgn0265606,FBgn0039004,FBgn0028684,FBgn0039120,FBgn0039141,FBgn0027889,FBgn0005696,FBgn0028692,FBgn0002873,FBgn0002791"
"","REACTOME pathway","R-DME-5358346","Hedgehog ligand biogenesis","52","18","0.909","2.7448","1.457","0.0000366173592245923","4.43631297941012","0.0363244203507956","0.00643505148550167","0.0481177288815558","CG12096,Ubi-p5E,Prosalpha6,RpS27A,CG6766,Prosalpha3,Rpn8,Rpn1,Prosbeta7,Rpn5,Prosalpha2,CG9588,Der-2,Prosalpha4T1,Rpt5,Hrd3,Rpn2,sip3","FBgn0030457,FBgn0086558,FBgn0250843,FBgn0003942,FBgn0032398,FBgn0261394,FBgn0002787,FBgn0028695,FBgn0250746,FBgn0028690,FBgn0086134,FBgn0038166,FBgn0038438,FBgn0265606,FBgn0028684,FBgn0028475,FBgn0028692,FBgn0039875"
"","REACTOME pathway","R-DME-8951664","Neddylation","139","35","1.767","1.9966","0.998","0.0000382715779369187","4.41712363144759","0.0379654053134233","0.00643505148550167","0.0481177288815558","CG2247,CG12096,Ubi-p5E,Charon,alien,Prosalpha6,RpS27A,Socs36E,CG9945,Prosalpha3,Rpn8,CG3894,CG8001,CG34039,CG32085,CG11658,CG9951,Rpn1,SCCRO4,CG11247,Prosbeta7,Rpn5,Prosalpha2,pic,CG9588,Caf1-55,m-cup,EloB,Prosalpha4T1,Rpt5,CG10011,Cul5,Rpn2,CG42233,dbo","FBgn0030320,FBgn0030457,FBgn0086558,FBgn0031317,FBgn0013746,FBgn0250843,FBgn0003942,FBgn0041184,FBgn0034527,FBgn0261394,FBgn0002787,FBgn0035059,FBgn0035268,FBgn0054039,FBgn0052085,FBgn0036196,FBgn0036671,FBgn0028695,FBgn0036967,FBgn0037120,FBgn0250746,FBgn0028690,FBgn0086134,FBgn0260962,FBgn0038166,FBgn0263979,FBgn0038488,FBgn0023212,FBgn0265606,FBgn0028684,FBgn0039590,FBgn0039632,FBgn0028692,FBgn0250755,FBgn0040230"
"","REACTOME pathway","R-DME-69620","Cell Cycle Checkpoints","108","29","1.464","2.1292","1.09","0.0000493024931791743","4.3071311183175","0.0489080732337409","0.00643505148550167","0.0481177288815558","Mcm6,CG12096,Ubi-p5E,Prosalpha6,RpS27A,CycE,twe,fzy,Mcm10,BubR1,dap,Prosalpha3,CycB,Rpn8,mad2,CycA,Rad9,Rpn1,Hus1-like,Prosbeta7,Rpn5,Prosalpha2,CG9588,Rad17,14-3-3epsilon,Prosalpha4T1,Rpt5,Rpn2,mr","FBgn0025815,FBgn0030457,FBgn0086558,FBgn0250843,FBgn0003942,FBgn0010382,FBgn0002673,FBgn0001086,FBgn0032929,FBgn0263855,FBgn0010316,FBgn0261394,FBgn0000405,FBgn0002787,FBgn0035640,FBgn0000404,FBgn0025807,FBgn0028695,FBgn0026417,FBgn0250746,FBgn0028690,FBgn0086134,FBgn0038166,FBgn0025808,FBgn0020238,FBgn0265606,FBgn0028684,FBgn0028692,FBgn0002791"
"","REACTOME pathway","R-DME-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","68","21","1.06","2.4488","1.292","0.0000594682323360298","4.22571497049883","0.0589924864773416","0.00643505148550167","0.0481177288815558","CG12096,Ubi-p5E,Prosalpha6,RpS27A,fzy,BubR1,Prosalpha3,CycB,Rpn8,mad2,CycA,Rpn1,polo,Prosbeta7,Rpn5,Prosalpha2,CG9588,Prosalpha4T1,Rpt5,Rpn2,mr","FBgn0030457,FBgn0086558,FBgn0250843,FBgn0003942,FBgn0001086,FBgn0263855,FBgn0261394,FBgn0000405,FBgn0002787,FBgn0035640,FBgn0000404,FBgn0028695,FBgn0003124,FBgn0250746,FBgn0028690,FBgn0086134,FBgn0038166,FBgn0265606,FBgn0028684,FBgn0028692,FBgn0002791"
"","REACTOME pathway","R-DME-174143","APC/C-mediated degradation of cell cycle proteins","78","23","1.161","2.3381","1.225","0.0000607029944543377","4.21678988482394","0.060217370498703","0.00643505148550167","0.0481177288815558","CG12096,Ubi-p5E,Prosalpha6,RpS27A,aurB,fzy,BubR1,Prosalpha3,CycB,Rpn8,mad2,CycA,Rpn1,polo,Prosbeta7,Rpn5,aurA,Prosalpha2,CG9588,Prosalpha4T1,Rpt5,Rpn2,mr","FBgn0030457,FBgn0086558,FBgn0250843,FBgn0003942,FBgn0024227,FBgn0001086,FBgn0263855,FBgn0261394,FBgn0000405,FBgn0002787,FBgn0035640,FBgn0000404,FBgn0028695,FBgn0003124,FBgn0250746,FBgn0028690,FBgn0000147,FBgn0086134,FBgn0038166,FBgn0265606,FBgn0028684,FBgn0028692,FBgn0002791"
"","REACTOME pathway","R-DME-453276","Regulation of mitotic cell cycle","78","23","1.161","2.3381","1.225","0.0000607029944543377","4.21678988482394","0.060217370498703","0.00643505148550167","0.0481177288815558","CG12096,Ubi-p5E,Prosalpha6,RpS27A,aurB,fzy,BubR1,Prosalpha3,CycB,Rpn8,mad2,CycA,Rpn1,polo,Prosbeta7,Rpn5,aurA,Prosalpha2,CG9588,Prosalpha4T1,Rpt5,Rpn2,mr","FBgn0030457,FBgn0086558,FBgn0250843,FBgn0003942,FBgn0024227,FBgn0001086,FBgn0263855,FBgn0261394,FBgn0000405,FBgn0002787,FBgn0035640,FBgn0000404,FBgn0028695,FBgn0003124,FBgn0250746,FBgn0028690,FBgn0000147,FBgn0086134,FBgn0038166,FBgn0265606,FBgn0028684,FBgn0028692,FBgn0002791"
"","REACTOME pathway","R-DME-69615","G1/S DNA Damage Checkpoints","54","18","0.909","2.6431","1.402","0.0000648694706199765","4.18795964620051","0.0643505148550167","0.00643505148550167","0.0481177288815558","CG12096,Ubi-p5E,Prosalpha6,RpS27A,CycE,twe,dap,Prosalpha3,Rpn8,CycA,Rpn1,Prosbeta7,Rpn5,Prosalpha2,CG9588,Prosalpha4T1,Rpt5,Rpn2","FBgn0030457,FBgn0086558,FBgn0250843,FBgn0003942,FBgn0010382,FBgn0002673,FBgn0010316,FBgn0261394,FBgn0002787,FBgn0000404,FBgn0028695,FBgn0250746,FBgn0028690,FBgn0086134,FBgn0038166,FBgn0265606,FBgn0028684,FBgn0028692"
