Name	Family	Type
15mer_SAT	Satellite	Satellite
MARINA	TcMar-Mariner	DNA
193XP_SAT	Satellite	Satellite
260bp_SAT	1pt688	Satellite
353bp_SAT	1pt688	Satellite
356bp_SAT	1pt688	Satellite
359bp_SAT	1pt688	Satellite
360bp_SAT	1pt688	Satellite
3L-TAS_SAT	Satellite	Satellite
500U_SAT	Satellite	Satellite
585-XAS_SAT	Satellite	Satellite
90U_SAT	Satellite	Satellite
ACCORD_I	Gypsy	LTR
ACCORD_LTR	Gypsy	LTR
ACCORD2_I	Gypsy	LTR
ACCORD2_LTR	Gypsy	LTR
ACCORD	Gypsy	LTR
ACCORD2	Gypsy	LTR
AT_rich	Low_complexity	Low_complexity
AY1_DH	Other	Other
Baggins1	LOA	Non-LTR_retrotransposon
BARI_DM	TcMar-Tc1	DNA
BARI1	TcMar-Tc1	DNA
BATUMI_I	Pao	LTR
BATUMI_LTR	Pao	LTR
BATUMI	Pao	LTR
BEL_I	Pao	LTR
BEL	Pao	LTR
BEL_LTR	Pao	LTR
BEL-1_DAn-I	Pao	LTR
BEL-1_DAn-LTR	Pao	LTR
BEL-1_DBi-I	Pao	LTR
BEL-1_DBi-LTR	Pao	LTR
BEL-1_DBp-I	Pao	LTR
BEL-1_DBp-LTR	Pao	LTR
BEL-1_DEl-I	Pao	LTR
BEL-1_DEl-LTR	Pao	LTR
BEL-1_DEre-I	Pao	LTR
BEL-1_DEre-LTR	Pao	LTR
BEL-1_Deu-I	Pao	LTR
BEL-1_Deu-LTR	Pao	LTR
BEL-1_DFi-I	Pao	LTR
BEL-1_DFi-LTR	Pao	LTR
BEL-1_DGri-I	Pao	LTR
BEL-1_DGri-LTR	Pao	LTR
BEL-1_DKi-I	Pao	LTR
BEL-1_DKi-LTR	Pao	LTR
BEL-1_DPer-I	Pao	LTR
BEL-1_DPer-LTR	Pao	LTR
BEL-1_DRh-I	Pao	LTR
BEL-1_DRh-LTR	Pao	LTR
BEL-1_DTa-I	Pao	LTR
BEL-1_DTa-LTR	Pao	LTR
BEL-1_DVir-I	Pao	LTR
BEL-1_DVir-LTR	Pao	LTR
BEL-1_DWil-I	Pao	LTR
BEL-1_DWil-LTR	Pao	LTR
BEL-10_DAn-I	Pao	LTR
BEL-10_DAn-LTR	Pao	LTR
BEL-10_DBp-I	Pao	LTR
BEL-10_DBp-LTR	Pao	LTR
BEL-10_DEl-I	Pao	LTR
BEL-10_DTa-I	Pao	LTR
BEL-10_DTa-LTR	Pao	LTR
BEL-10_DWil-I	Pao	LTR
BEL-10_DWil-LTR	Pao	LTR
BEL-11_DAn-I	Pao	LTR
BEL-11_DAn-LTR	Pao	LTR
BEL-11_DBp-I	Pao	LTR
BEL-11_DBp-LTR	Pao	LTR
BEL-11_DEl-I	Pao	LTR
BEL-11_DTa-I	Pao	LTR
BEL-11_DTa-LTR	Pao	LTR
BEL-11_DWil-I	Pao	LTR
BEL-11_DWil-LTR	Pao	LTR
BEL-12_DAn-I	Pao	LTR
BEL-12_DAn-LTR	Pao	LTR
BEL-12_DBp-I	Pao	LTR
BEL-12_DBp-LTR	Pao	LTR
BEL-12_DEl-I	Pao	LTR
BEL-12_DTa-I	Pao	LTR
BEL-12_DTa-LTR	Pao	LTR
BEL-12_DWil-I	Pao	LTR
BEL-12_DWil-LTR	Pao	LTR
BEL-13_DAn-I	Pao	LTR
BEL-13_DAn-LTR	Pao	LTR
BEL-13_DEl-I	Pao	LTR
BEL-13_DP-I	Pao	LTR
BEL-13_DP-LTR	Pao	LTR
BEL-13_DTa-I	Pao	LTR
BEL-13_DTa-LTR	Pao	LTR
BEL-13_DWil-I	Pao	LTR
BEL-13_DWil-LTR	Pao	LTR
BEL-14_DAn-I	Pao	LTR
BEL-14_DAn-LTR	Pao	LTR
BEL-14_DEl-I	Pao	LTR
BEL-14_DP-I	Pao	LTR
BEL-14_DP-LTR	Pao	LTR
BEL-14_DTa-I	Pao	LTR
BEL-14_DTa-LTR	Pao	LTR
BEL-14_DWil-I	Pao	LTR
BEL-14_DWil-LTR	Pao	LTR
BEL-15_DAn-I	Pao	LTR
BEL-15_DAn-LTR	Pao	LTR
BEL-15_DEl-I	Pao	LTR
BEL-15_DP-I	Pao	LTR
BEL-15_DP-LTR	Pao	LTR
BEL-15_DTa-I	Pao	LTR
BEL-15_DTa-LTR	Pao	LTR
BEL-15_DWil-I	Pao	LTR
BEL-15_DWil-LTR	Pao	LTR
BEL-16_DAn-I	Pao	LTR
BEL-16_DAn-LTR	Pao	LTR
BEL-16_DEl-I	Pao	LTR
BEL-16_DEl-LTR	Pao	LTR
BEL-16_DTa-I	Pao	LTR
BEL-16_DTa-LTR	Pao	LTR
BEL-16_DWil-I	Pao	LTR
BEL-16_DWil-LTR	Pao	LTR
BEL-17_DAn-I	Pao	LTR
BEL-17_DAn-LTR	Pao	LTR
BEL-17_DEl-I	Pao	LTR
BEL-17_DEl-LTR	Pao	LTR
BEL-17_DTa-I	Pao	LTR
BEL-17_DTa-LTR	Pao	LTR
BEL-17_DWil-LTR	Pao	LTR
BEL-18_DAn-I	Pao	LTR
BEL-18_DAn-LTR	Pao	LTR
BEL-18_DEl-I	Pao	LTR
BEL-18_DTa-I	Pao	LTR
BEL-18_DTa-LTR	Pao	LTR
BEL-18_DWil-I	Pao	LTR
BEL-18_DWil-LTR	Pao	LTR
BEL-19_DAn-I	Pao	LTR
BEL-19_DAn-LTR	Pao	LTR
BEL-19_DTa-I	Pao	LTR
BEL-19_DTa-LTR	Pao	LTR
BEL-19_DWil-I	Pao	LTR
BEL-19_DWil-LTR	Pao	LTR
BEL-2_DAn-I	Pao	LTR
BEL-2_DAn-LTR	Pao	LTR
BEL-2_DBi-I	Pao	LTR
BEL-2_DBi-LTR	Pao	LTR
BEL-2_DBp-I	Pao	LTR
BEL-2_DBp-LTR	Pao	LTR
BEL-2_DEl-I	Pao	LTR
BEL-2_DEl-LTR	Pao	LTR
BEL-2_Deu-I	Pao	LTR
BEL-2_Deu-LTR	Pao	LTR
BEL-2_DFi-I	Pao	LTR
BEL-2_DFi-LTR	Pao	LTR
BEL-2_DGri-I	Pao	LTR
BEL-2_DGri-LTR	Pao	LTR
BEL-2_DPer-I	Pao	LTR
BEL-2_DPer-LTR	Pao	LTR
BEL-2_DRh-I	Pao	LTR
BEL-2_DRh-LTR	Pao	LTR
BEL-2_DSe-I	Pao	LTR
BEL-2_DSe-LTR	Pao	LTR
BEL-2_DTa-I	Pao	LTR
BEL-2_DTa-LTR	Pao	LTR
BEL-2_DVir-I	Pao	LTR
BEL-2_DVir-LTR	Pao	LTR
BEL-2_DWil-I	Pao	LTR
BEL-2_DWil-LTR	Pao	LTR
BEL-20_DAn-I	Pao	LTR
BEL-20_DAn-LTR	Pao	LTR
BEL-20_DTa-I	Pao	LTR
BEL-20_DTa-LTR	Pao	LTR
BEL-20_DWil-I	Pao	LTR
BEL-20_DWil-LTR	Pao	LTR
BEL-21_DAn-I	Pao	LTR
BEL-21_DAn-LTR	Pao	LTR
BEL-21_DTa-I	Pao	LTR
BEL-21_DTa-LTR	Pao	LTR
BEL-21_DWil-I	Pao	LTR
BEL-21_DWil-LTR	Pao	LTR
BEL-22_DAn-I	Pao	LTR
