Name	Mean	LogFC	pValue	p.Adj	SYMBOL
FBgn0000008	234.68348782191194	0.7948366248295424	1.5082661360436803e-9	2.239182073656758e-8	a
FBgn0000015	248.26332345729142	-0.7325488998207901	3.0775179554369437e-9	4.302988861924692e-8	Abd-B
FBgn0000038	387.1187236383385	1.0594255992921262	1.1285989775819769e-17	4.373072812548581e-16	nAChRbeta1
FBgn0000044	229.9992927649798	-0.8296811087213811	2.092784269148167e-9	3.015480757715892e-8	Act57B
FBgn0000052	930.142649295616	-0.5942764191593659	1.3352830268957959e-17	5.128806579759928e-16	Pfas
FBgn0000078	768.653103473518	0.5901784572415393	1.2528970866063236e-12	2.8395418877065786e-11	Amy-d
FBgn0000120	542.7698615092285	-0.5445762149230725	1.023504570109897e-10	1.7912007794519297e-9	Arr1
FBgn0000241	101.41375480866522	-1.3743048014138057	4.923690904474572e-13	1.1555369080075048e-11	bw
FBgn0000287	3109.2294236388	0.7478351350032034	1.4299152558984716e-48	2.6990671823123578e-46	salr
FBgn0000299	339.09196026159213	-0.6981553095393713	8.998928180199003e-11	1.5853711739329257e-9	Col4a1
FBgn0000414	474.2143723258375	-0.5754828822583675	3.073862304180002e-10	5.05160977924507e-9	Dab
FBgn0000422	289.7215423602565	-0.5467838909559948	3.0056107318057436e-6	2.40539882491516e-5	Ddc
FBgn0000427	113.04507061344162	-0.6330175131449668	2.611490013600677e-4	0.0013542236087011673	dec
FBgn0000454	4662.209265765639	-0.5480003547475312	6.584392639277708e-28	4.915230505241602e-26	Dip-B
FBgn0000479	286.11276444579636	-0.5922403199341086	1.710567412922938e-6	1.446973574068552e-5	dnc
FBgn0000490	248.2782116215519	-0.5446026511371206	1.948210609053872e-5	1.3330764773396587e-4	dpp
FBgn0000492	120.10661739414252	-0.7304962811178033	1.7310342124605832e-5	1.2006380603276475e-4	Dr
FBgn0000504	434.4703544316849	-0.5264207943247954	9.754050586874445e-7	8.702246482401894e-6	dsx
FBgn0000527	620.5060480172191	2.732815272450633	2.9583963530241322e-154	1.3029763670835951e-150	e
FBgn0000533	14.361636393403792	-1.6996663551979814	0.001184799325587899	0.005136073979328382	ea
FBgn0000562	553.2230909515002	-0.5684278060987747	2.0864841420139966e-10	3.4852989846309657e-9	egl
FBgn0000566	280.4096338213725	-0.561585148099503	4.23632600736681e-5	2.671817447987478e-4	Cth
FBgn0000577	154.68962788168744	-0.5962351177053896	2.4045024247440982e-4	0.0012577470521830472	en
FBgn0000592	108.26826135949061	-0.581587062126446	0.0021086953883986763	0.008541444563737496	Est-6
FBgn0000667	519.0040589598649	-0.5546844662005324	1.7567612069142758e-9	2.5705521403054624e-8	Actn
