Name	Mean	LogFC	pValue	p.Adj	diffexpressed
Helitron	4880.611196746057	0.5126140996856753	2.0033601076398604e-13	9.766380524744319e-13	UP
hAT-hobo	1980.730687152578	-0.894378914672543	2.7351124932969987e-34	3.555646241286098e-33	DOWN
I	1404.3006036538627	-1.8481586560012673	2.104291815088587e-111	8.20673807884549e-110	DOWN
TcMar-Tc1	4152.457435405516	0.7418294348965732	9.90134540828107e-17	7.723049418459234e-16	UP
P	109891.76989147812	0.7342692628097278	3.853946191322704e-42	7.515195073079273e-41	UP
R1	21446.489045045888	-0.5085020587402361	5.623971876466303e-13	2.4370544798020643e-12	DOWN
Rsp	2653.8522666322974	-0.6830438786799241	4.6188012542615605e-15	2.573332127374298e-14	DOWN
R2	365.7389903324417	-0.6366581215963182	8.901847008113216e-6	2.1698252082275963e-5	DOWN
MULE-NOF	76.86735595061523	-2.3158043337032472	1.4184749824844335e-20	1.3830131079223228e-19	DOWN
IGS	119.8856870122497	-1.4723818749016084	5.012549758194342e-16	3.2581573428263223e-15	DOWN
