Name	Mean	LogFC	pValue	p.Adj	diffexpressed
Adgf-A	199.49108248861768	-1.409633253350412	3.747664045518455e-11	7.159912158963008e-9	DOWN
Apc	1176.9404959171156	-0.6069052899348051	1.0408062530154852e-10	1.8076912239873496e-8	NO
Apoltp	634.4748019803691	1.415449598909299	2.0188674247633023e-31	2.103843390005612e-28	UP
Asator	393.6443686269226	-0.7434310153912188	6.37801533970011e-7	5.4970819427806286e-5	NO
CG10086	225.06610022891385	1.3614461151704642	4.0507155452695675e-12	8.929490826043278e-10	UP
CG10508	505.0915418475706	-2.0065741995933157	4.638238373422869e-44	1.063362529490927e-40	DOWN
CG10513	129.60459236761565	-1.7582263902908835	5.295238519165143e-9	7.313170981348197e-7	DOWN
CG10553	182.96894258139338	-1.872233638341642	9.370360778676405e-13	2.1920907266524007e-10	DOWN
CG10734	26504.159685093284	1.6071478168079933	6.142340685948856e-205	7.040965128303174e-201	UP
CG10904	100.49711110331585	1.3641506533188308	1.6087225051522365e-6	1.2544752433034075e-4	UP
CG11035	191.92384391632856	0.9838859616734135	1.376172613208238e-6	1.0954907406393079e-4	NO
CG1116	234.23235721034777	0.9969867453976993	1.417405259798954e-7	1.490616192025267e-5	NO
CG11257	108.17809381607105	1.3636343145408119	5.747837247460381e-7	4.9914741187604805e-5	UP
CG12128	185.28304616713132	1.4156344860896557	2.1469663072537766e-11	4.394763353580365e-9	UP
CG12224	44.17197768862897	3.2748819974074093	7.299581872748508e-11	1.3281763017034309e-8	UP
CG12470	12188.5042399992	-0.7950710291400355	1.607570094406129e-55	4.606893998044364e-52	NO
CG13488	121.78481664870537	1.3169003446397678	3.861603145111251e-7	3.5412445481928214e-5	UP
CG13526	611.7799488602727	-0.5051487315139235	4.9517740397328246e-5	0.0024361453140539645	NO
CG13876	131.85751912022985	1.1619114781125892	3.0039355107794427e-6	2.1793742253205538e-4	UP
CG13901	820.5374529128657	-0.5062918301777599	5.45023101045085e-6	3.696804619692195e-4	NO
CG13999	291.56387348865843	0.8794852408713711	1.9078656145068047e-7	1.9526663874188843e-5	NO
CG14151	445.79927261682025	-0.779725035022258	5.870754291317506e-6	3.9125846768239863e-4	NO
CG14610	53.2573163131021	3.936118475612142	2.5121205142698045e-15	7.999010404187436e-13	UP
CG14642	342.10156543613726	0.8243823733390878	1.2644370639029487e-7	1.3420594503258796e-5	NO
CG14931	726.4876180147345	-0.5630482988270734	7.889255636244077e-7	6.553227344801873e-5	NO
CG15362	844.8119839573885	0.7278649078228083	7.914043258275085e-12	1.7116731673510813e-9	NO
CG15597	61.84445057835802	1.5152131200623962	3.0947116453807894e-5	0.001665477915070422	UP
CG15631	4245.975231882811	-0.8116323239825971	1.5688703265010817e-38	2.9973267587803166e-35	NO
CG15674	117.97020519966351	-1.1745604687377569	2.423433908107664e-5	0.0013820807407282664	DOWN
CG1607	60.14796182355882	1.7848284678327793	1.6967614630478248e-6	1.3141876115484606e-4	UP
CG1620	613.6830124038971	0.6144883821213523	4.321512370912059e-7	3.9315473260130905e-5	NO
CG16848	580.4714365289243	-0.6606106419202683	4.645174132877995e-7	4.152429329948541e-5	NO
CG17010	3912.5532734243684	-0.6212200221805267	1.6923459488162433e-22	8.083067338033582e-20	NO
CG17104	1133.0177635305922	-0.5444873692458732	6.600937832709625e-9	8.798436090273305e-7	NO
CG17177	1821.0447061904504	0.8855362260948869	3.3068370104116936e-6	2.3544268726924996e-4	NO
CG17549	396.4679826704963	-1.0098274604694708	4.795919139098657e-11	9.012396900243918e-9	DOWN
CG18641	436.9819196197036	1.025988667460452	1.89671006707541e-13	5.056276162531494e-11	UP
CG2233	446.9297149361578	-1.55692289756935	1.288050052703297e-25	7.771009344283101e-23	DOWN
CG2772	71.87446317859724	-3.294375221823166	1.7558018575963865e-13	4.792084927054138e-11	DOWN
CG30094	569.7276916910649	-0.5484801519926621	2.827655041186454e-5	0.001550880848666044	NO
