Name	Mean	LogFC	pValue	p.Adj	SYMBOL
FBgn0000008	372.8161830782008	1.6488352073858874	1.4370474275689346e-53	4.329025539583218e-51	a
FBgn0000015	252.89566623457867	-0.833847494052711	6.422239569868749e-11	1.1161523026812917e-9	Abd-B
FBgn0000038	400.32454039604255	1.0352816144408161	3.880206005170893e-18	1.6234590310523648e-16	nAChRbeta1
FBgn0000044	229.61026888375116	-1.0034242554969857	7.229497431366534e-15	2.0851716421192498e-13	Act57B
FBgn0000078	898.2169602307096	0.8520261336884859	1.2816104652054849e-24	9.460845951471068e-23	Amy-d
FBgn0000079	1754.1320173128186	0.9957884375475407	1.2031777677275609e-46	2.9125496105919317e-44	Amy-p
FBgn0000241	103.60541940770929	-1.502082106903069	2.1823553775125254e-15	6.607265417977514e-14	bw
FBgn0000244	358.2400035879257	-0.7605374311680213	3.351542861667725e-14	8.891098832244165e-13	by
FBgn0000287	1767.4472930718603	-1.13394733186402	3.935927284403447e-90	3.8111021619552234e-87	salr
FBgn0000355	396.3384077539909	0.5710166716216518	8.207673275335236e-9	1.0750069460912508e-7	Cp15
FBgn0000406	128.95399243996968	-0.9952611201076654	2.2039822629066813e-8	2.706266626445921e-7	Cyt-b5-r
FBgn0000492	121.35885397263415	-0.8700338437671254	8.323626502127576e-7	7.567745195361598e-6	Dr
FBgn0000504	451.6936962067346	-0.5590503942830624	1.2973409523520919e-9	1.8890176101057955e-8	dsx
FBgn0000527	552.2902443616041	2.4638430612788254	1.7797343199603106e-28	1.7739763559839683e-26	e
FBgn0000562	577.8210858511194	-0.5685781826728108	1.3371040898790881e-11	2.542185559944028e-10	egl
FBgn0000636	905.8906029791347	-0.5349314658660248	5.0453054202204523e-11	8.905489619337039e-10	Fas3
FBgn0000667	544.8429421618144	-0.5365684231225665	7.852526305000708e-10	1.173636676853248e-8	Actn
FBgn0000721	1157.1828013032302	-0.5448384848636234	1.4744919590978018e-19	6.916336677345952e-18	for
FBgn0000964	135.76678327201154	-0.5461236493569779	0.0012077714995394745	0.00531222869636294	tj
FBgn0001083	39.622827044546405	1.1411648265191394	1.8836896555686315e-4	0.001011298889936173	fw
FBgn0001112	89.96102311867493	0.7705516357027749	7.226297780930861e-4	0.0033640004367547645	Gld
FBgn0001128	700.9683515351452	-0.6531966487931876	2.0018076571491473e-16	6.887437715815696e-15	Gpdh1
FBgn0001142	350.2235835126603	-0.794256837418075	1.1305244170284359e-13	2.806847801691846e-12	Gs1
FBgn0001148	22.187798306413374	1.2740613635012172	0.00179430536508011	0.0075492251797101085	gsb
FBgn0001186	3874.6567880649113	-0.707630380481906	8.254272027203305e-44	1.645513405893647e-41	Hex-A
FBgn0001187	36.42685946151061	-1.027309311391799	9.519936856673674e-4	0.004320464145599877	Hex-C
FBgn0001250	681.6062206698464	-0.5777844703398929	2.929306376664939e-12	6.109181114164602e-11	if
FBgn0001258	2020.534969723067	-0.5401212959893039	1.7194085914377379e-6	1.4705553858378534e-05	Ldh
FBgn0001970	243.4697724627721	-0.6627597831432472	4.29721118586493e-8	4.957701688134893e-7	Pgant35A
FBgn0001991	1811.2650573975918	0.7815291489516919	8.332018052689569e-45	1.792838678131108e-42	Ca-alpha1D
FBgn0002306	516.5089034533216	0.5534418879797831	1.2935996393303933e-10	2.130745651368507e-9	sas
FBgn0002354	143.03923721964057	-0.6662345291022281	3.066440462874622e-5	2.0188764893020096e-4	l(3)87Df
FBgn0002441	1772.265268637925	0.5787696156436297	2.3057236654406216e-28	2.264955797732831e-26	l(3)mbt
FBgn0002543	96.07743289699977	-0.5879752403485562	0.0023314102041278265	0.009480839379179047	robo2
FBgn0002772	806.4538093404861	-0.9467594143130641	3.8329604002289596e-29	3.9968931681156756e-27	Mlc1
FBgn0002773	1334.031747654157	-1.003402343632486	3.5590550231206975e-45	7.802840425613394e-43	Mlc2
FBgn0002778	101.63837645259734	-1.550165364668904	7.75721347244094e-16	2.4801128734058818e-14	mnd
FBgn0002789	695.6640059493965	-0.9780257316091597	5.896581928957876e-35	7.914263824648809e-33	Mp20
FBgn0002887	1202.8348271978869	0.6522246994718723	5.857756342725113e-28	5.59209471704096e-26	mus201
FBgn0002899	311.2206069741916	0.7122848674637832	7.926927283795505e-11	1.3550747321454206e-9	mus301
FBgn0002905	1235.0517078731043	-0.6266618970973818	7.821408407045854e-27	6.710570402905924e-25	PolQ
FBgn0002930	1113.8541203066382	0.6506858014201566	6.980513207001814e-15	2.0176511094694367e-13	nec
FBgn0002945	258.8633292432952	-0.6362317431113842	6.970754927770699e-7	6.463444172425418e-6	nkd
FBgn0003041	717.9367706122622	-0.5958685641863358	1.8071742579449432e-10	2.9409428860386133e-9	pbl
FBgn0003076	569.421596631949	-0.748757295790938	8.376169463379177e-18	3.3793855132609563e-16	Pgm1
FBgn0003089	108.39892048289789	1.3231727443175123	2.871181066448171e-12	6.01572342144844e-11	pip
FBgn0003129	223.3929802231166	-0.6122362185560766	1.000789039810347e-6	8.960829738222632e-6	Poxm
FBgn0003149	1706.8628135154534	-1.1209589853097315	2.1417111717894362e-23	1.4372790418206732e-21	Prm
FBgn0003255	25.283328472211522	1.2481675909438161	8.211417990367675e-4	0.0037631501784119066	rk
FBgn0003346	1980.7849322311129	-0.5486375406422221	8.191188913507947e-29	8.476317321489598e-27	RanGAP
FBgn0003382	78.92140508998183	-1.3396661415196105	1.5073944286588761e-9	2.1715450451540622e-8	sha
FBgn0003390	114.84825539455876	-0.5992816114846156	5.448326476626538e-4	0.0026227810268874057	shf
FBgn0003450	30.617650872293552	2.915713307737555	5.080100011964689e-12	1.023266504638831e-10	snk
FBgn0003495	451.58838209927984	0.5278110151114691	4.684963913390182e-6	3.677438958304419e-5	spz
FBgn0003866	200.98727511696686	0.5691181310998183	1.9827683572675635e-5	1.3581812961656944e-4	tsh
FBgn0003886	3105.4582984560657	-0.5641158868967103	6.0044223141491834e-9	7.987826191423584e-8	alphaTub85E
FBgn0003896	167.00577975280032	1.8095253358759407	1.0776375404847702e-28	1.1067010983948141e-26	tup
FBgn0003900	2422.0221655507867	-0.8977558141566097	9.786174520246183e-72	5.527557574852386e-69	twi
FBgn0004117	498.4503925335082	-0.9152680870757927	1.715250243714292e-19	8.017907690962394e-18	Tm2
FBgn0004167	1693.6408714720721	-0.7269228930690725	6.128532065431796e-44	1.2399758310297526e-41	kst
FBgn0004169	749.2782017850212	-0.9081515742799984	3.691679489057267e-33	4.549491559423665e-31	up
FBgn0004173	19686.12247876234	-1.2010792933870862	3.64685187570164e-18	1.535301988416504e-16	Mst84Db
FBgn0004197	233.74008618623608	-2.4156746872395085	5.100780270058415e-59	2.0337110982621137e-56	Ser
FBgn0004507	1420.421544247779	-0.5771387661411607	8.267676670328883e-20	4.0170833312895464e-18	GlyP
FBgn0004512	412.104309519178	1.2670841948779137	2.6592580122950585e-36	3.8349895334757245e-34	Mdr49
FBgn0004580	89.05868358753389	-0.7058968922677462	6.040029083587028e-4	0.0028719268417083743	Cbp53E
FBgn0004589	49.34506088872487	-1.015439832244867	1.9845362756945988e-4	0.0010595657248253635	Eig71Eb
FBgn0004595	544.4702879035095	0.8576941724740386	1.857573467659038e-23	1.2527992998798966e-21	pros
FBgn0004629	250.3821161502501	-0.5443759147097224	6.895810354767094e-6	5.2546152427893605e-5	Cys
FBgn0004649	141.60214410214175	1.070408446487429	9.672623270447117e-11	1.6308716549027502e-9	yl
FBgn0004781	14.904625955332483	-2.244839903668213	5.693207932557465e-5	3.512841453516112e-4	Ccp84Ac
FBgn0004795	595.2248240238026	-0.6202298942119955	1.6703261826139829e-12	3.594117735161136e-11	retn
FBgn0004837	131.7690110619369	0.6904385700061152	1.928975485411986e-5	1.324680429597005e-4	Su(H)
FBgn0004852	228.29807037855025	-0.5189405573994593	3.56602511898782e-5	2.3074480435798992e-4	Ac76E
FBgn0004914	305.91976195665296	-0.5678498110063877	2.2746223652811234e-6	1.9045571824429223e-5	Hnf4
FBgn0005561	57.504951046177844	0.864210331605397	6.043706151160764e-4	0.002871955454493594	sv
FBgn0005636	766.3233104904394	-0.6923055890318534	1.2100948102861036e-19	5.755805350259095e-18	nvy
FBgn0005666	6536.946583880716	-0.5776000464952188	8.112731506482434e-8	8.992329378730652e-7	bt
FBgn0005677	292.4672425681535	0.5260803412754209	3.7474800091470364e-6	3.002413652718512e-5	dac
FBgn0008636	19.55947135389619	-1.7297011652689047	1.0504764821013634e-4	6.098612073390185e-4	hbn
FBgn0010015	55.40454310774695	0.9040434484067664	2.993890637530394e-4	0.0015425762631076404	CanA1
FBgn0010039	583.4483348604618	-0.7400205306746941	1.211341216287167e-17	4.759693196518503e-16	GstD3
FBgn0010041	217.881579075703	0.7243984025564086	5.555503261172866e-7	5.273837689668023e-6	GstD5
FBgn0010053	439.9102541434333	-0.6728839450120144	6.117239074526214e-13	1.3984029155864647e-11	Jheh1
FBgn0010114	78.56328014620381	0.8083240551760118	2.2292803837681096e-4	0.0011758803456171397	hig
FBgn0010173	1462.1679688517413	0.5705422546127411	1.556257322729661e-20	8.208803216701667e-19	RPA1
FBgn0010225	1167.5824273415942	-0.5209483754793428	3.91015768422216e-14	1.033257262520772e-12	Gel
FBgn0010228	265.3957195759189	-0.6561597396428941	1.8721232102575837e-7	1.924636433526699e-6	HmgZ
FBgn0010316	612.2722942419479	0.503661340669287	1.196126180989613e-8	1.5311318705850043e-7	dap
FBgn0010323	14.23443294748242	-1.765342987932817	7.659513524918374e-4	0.003541238113171783	Gsc
FBgn0010382	1696.2453626185422	0.5206932138323811	3.6215789452268716e-18	1.529411968270887e-16	CycE
FBgn0010387	102.41966518392724	-0.9188037244454628	1.286890980323368e-6	1.122592929811041e-5	Acbp2
FBgn0010399	117.40181672974661	0.8745384408023625	6.0468645671158576e-6	4.670729120901571e-5	Nmdar1
FBgn0010423	160.67821730134867	-0.7523059711461095	3.5276761076891736e-7	3.4653027040459733e-6	TpnC47D
FBgn0010424	196.04671161699423	-1.2836141443464901	3.152128323258635e-20	1.5944123712721664e-18	TpnC73F
FBgn0010431	158.23317399753878	-0.7599621994346095	8.183662042272539e-7	7.4454847412782915e-6	mtrm
FBgn0010482	239.68112882617538	-0.5932437655540623	1.0166187809141045e-6	9.072603156070837e-6	hlk
FBgn0010620	386.61609993768553	-0.6220976954450225	2.609415177411679e-9	3.631748680184057e-8	CG10939
FBgn0010651	314.87795524802897	-0.5087529320471317	2.235566581372027e-6	1.875330481254901e-5	MFS14
FBgn0011296	599.6804191857427	-1.0488189866658724	1.1542673266151224e-35	1.613118338102536e-33	l(2)efl
FBgn0011559	295.6518922424195	0.700297122171527	6.315411650121971e-10	9.554879501010429e-9	Acp36DE
FBgn0011582	100.22624896268314	0.8578819103197091	3.8008553661650787e-6	3.0415817794411928e-5	Dop1R1
FBgn0011603	68.75829461614599	-1.1490105731954503	4.767172089123378e-7	4.583247151784149e-6	ine
FBgn0011653	190.99413383639032	-0.8500211387462522	8.453267066727744e-9	1.1050384605261456e-7	mas
FBgn0011722	292.54149977165696	1.1439899096239734	3.721315315109335e-21	2.0506565207976483e-19	Tig
FBgn0011746	2348.6203211115994	-2.4837619502214205	0	0	ana
FBgn0012042	7.006366793330636	2.830301018021674	0.0022243856818732633	0.009096160574200289	AttA
FBgn0012344	172.94906347066413	0.6397679334248915	7.870228852848638e-6	5.9304514913405296e-5	Dh44
FBgn0013342	204.59557275874133	-0.5605659277529147	3.012705216471504e-5	1.9844621921519782e-4	nSyb
FBgn0013725	430.25192990811485	-1.201412154937721	4.453094292218597e-28	4.281286966334418e-26	phyl
FBgn0013763	670.4688568473119	-0.8261648189465939	8.594058752045543e-24	5.883891941551989e-22	Idgf6
FBgn0013773	94.8964895665416	0.7203154959130523	1.603967524768259e-4	8.785205561922634e-4	Cyp6a22
FBgn0013812	23.329782896286577	1.478058065804955	2.6176235852925665e-4	0.0013632157250182877	Dhc93AB
FBgn0013953	254.62292479249257	-0.8329618803833733	8.05373943344504e-12	1.5891774637522705e-10	Esp
FBgn0014000	32.12789902370731	-1.3440787092185862	1.0425136473725238e-4	6.060169384126044e-4	Hf
FBgn0014073	693.9580023942393	-0.5332388492110385	1.0543742287695511e-11	2.047721639713472e-10	Tie
FBgn0014141	1578.026794031702	-0.5623077440172294	3.4542914175620006e-18	1.4633242017647024e-16	cher
FBgn0014380	309.6025722435294	-0.7845581333282626	5.762909298276193e-13	1.3218612258448743e-11	RhoL
FBgn0014469	218.92152637725022	-0.958598413470585	1.3409806198825383e-12	2.90853332530043e-11	Cyp4e2
FBgn0014861	451.5356951620383	0.8327458130996854	6.322043803150796e-19	2.905139857474989e-17	Mcm2
FBgn0014863	676.8585299814542	-1.0511277866165876	1.3225466251979063e-37	2.0373229603616837e-35	Mlp84B
FBgn0014869	106.43831905713829	-0.7282611497789007	3.259701064078754e-4	0.0016649776799039784	Pglym78
FBgn0015040	66.2496635476258	-1.2709630055930352	3.8987748147747736e-8	4.5366344539988696e-7	Cyp9c1
FBgn0015372	810.9123159184616	0.6808751405359188	5.497689854973966e-22	3.226263362511995e-20	RabX1
FBgn0015399	456.501407319787	0.6367922532691465	2.8594500052788536e-10	4.554959373861356e-9	kek1
FBgn0015576	393.7244315147175	-0.6557610669446949	8.629970471678211e-11	1.4647123612368898e-9	alpha-Est8
FBgn0015714	55.13724215827287	-2.439842562455183	2.427995558458635e-17	9.215619939489154e-16	Cyp6a17
FBgn0015721	451.9680319122602	0.7518164627963659	3.53083469353586e-15	1.0496490154730727e-13	ktub
FBgn0015872	3649.8799556345766	-0.6492078093137671	2.4979179130705977e-7	2.519477323629838e-6	Drip
FBgn0016036	75.04704590328478	-0.7021811229765725	0.0014248825328966287	0.00615934554079933	mei-P22
FBgn0016047	9.332150659987507	-2.0771435562738954	0.0020479363112137763	0.008456236562538518	nompA
FBgn0016054	221.10994299498813	0.9641089989432143	5.3351532273045465e-11	9.39264118822603e-10	phr6-4
FBgn0016061	113.96894741369329	-0.9248140204065866	1.9489482661882065e-7	1.9984828060852743e-6	side
FBgn0016081	8100.087479794417	0.6536866267543072	1.0561749711258166e-72	6.225003438513726e-70	fry
FBgn0016650	478.4431029225879	-1.5421439097928227	2.2913902379204535e-45	5.177014344208278e-43	Lgr1
FBgn0016660	142.63628496127757	1.1702572554232138	2.9635086859112e-12	6.16155272181169e-11	H15
FBgn0016701	143.66375684128258	-0.525683941027381	0.0011838207857283072	0.005222217563076125	Rab4
FBgn0016970	212.35583795572038	1.0312015429483319	3.3585901209983544e-14	8.892392125049549e-13	l(2)k10201
FBgn0017424	77.40106003022181	1.2976469455601856	2.5762655569844625e-9	3.592989289144174e-8	asRNA:CR11538
FBgn0019809	95.65745139473616	0.6953454753961601	2.7428035614428763e-4	0.001421309062649833	gcm2
FBgn0019929	90.54826239789013	-1.0167703405564819	2.829966043763271e-7	2.824964631020243e-6	Ser7
FBgn0019982	109.50331307721376	-0.5742347178005829	0.0012664839178962654	0.005539998706357462	Gs1l
FBgn0019990	1528.0773610910576	0.734393515253437	6.42223470727643e-42	1.1607975158911904e-39	Gcn2
FBgn0020257	157.633824747202	-0.9319269921437348	3.84348783279268e-10	6.037348906296358e-9	Ppa
FBgn0020299	692.2147675111969	-0.613209689849339	1.5440768231873913e-15	4.746373110006412e-14	stumps
FBgn0020305	134.67100703415443	0.6173519553816377	2.214473620575291e-4	0.0011689799221385765	dbe
FBgn0020377	306.01286746266237	-1.1965285703480328	1.619124331167359e-22	9.931606078418424e-21	Sr-CII
FBgn0020385	944.7120592494085	-0.5135242507312259	3.945249594368313e-11	7.055646899901959e-10	pug
FBgn0020415	362.2925373134162	-0.50674085143986	4.437355491031128e-6	3.511546470310448e-5	Idgf2
FBgn0020762	644.8987096984395	0.5327112825801117	7.078563061620841e-8	7.915838290259732e-7	Atet
FBgn0020767	719.2023606874096	0.6648373472139631	1.2360450475841537e-16	4.340887737059789e-15	Spred
FBgn0020912	102.57729137224884	-1.8972530529131366	2.0295966772210518e-21	1.1322309693995298e-19	Ptx1
FBgn0021800	510.55916763011004	0.5005237323965515	9.430650473567567e-9	1.226889614392341e-7	Reph
FBgn0022097	378.9108387438683	-0.5085167659466034	5.204538736170595e-7	4.968501908980886e-6	Vha36-1
FBgn0022355	26531.055008902124	2.220728381804486	5.3225743819703225e-33	6.500253902881954e-31	Tsf1
FBgn0022359	229.55099650760886	-0.86054051161196	3.2960193665144706e-12	6.780096894153288e-11	Sodh-2
FBgn0022710	298.45813247204063	-0.6380771188143957	1.0554128327436641e-7	1.1400140526432758e-6	Ac13E
FBgn0022740	84.16546293471184	-0.8184917054477415	1.4287607452394155e-4	7.96498497511101e-4	HLH54F
FBgn0022774	221.75725923401913	-0.6376715605295461	8.009487024911744e-7	7.33020670243641e-6	Oat
FBgn0022800	36.64606696233761	-1.011324012001828	0.0016899118203103137	0.007158985975608351	Cad96Ca
FBgn0023023	99.11468043655059	-0.6428110918467047	5.125829711781511e-4	0.0024887445405770113	CRMP
FBgn0023091	32.857465716677744	-1.3914311031955888	6.688568686120856e-5	4.053206844392236e-4	dimm
FBgn0023181	671.4155264047262	0.6074207534798524	4.733268792111642e-14	1.2353686704902629e-12	Orc4
FBgn0023496	51.16422509020186	2.114575298123665	3.0353068909861104e-12	6.28192675026072e-11	Lip1
FBgn0023540	132.5096074071516	-0.5267310168111871	0.0019494464233859412	0.008098895407729028	CG3630
FBgn0024230	744.8029843599421	0.9799045328935129	1.5070552428290762e-35	2.084657231815404e-33	Hs2st
FBgn0024234	545.1863908505239	-0.5002531964347224	1.6683012055595942e-8	2.0862999209009093e-7	gbb
FBgn0024244	195.54117209504125	3.0377800716618535	7.164085032864055e-26	5.712725688559125e-24	drm
FBgn0024288	343.95411014567907	-0.6858418494496954	1.7562113795900313e-11	3.2657340825408046e-10	Sox100B
FBgn0024289	106.65152074794314	-0.7153503670439509	3.283303246669603e-4	0.0016757702865908561	Sodh-1
FBgn0024315	1630.71822052943	-0.7540958722338595	6.288922132736397e-33	7.611841824229875e-31	Picot
FBgn0024740	182.4436974130674	-0.8716640143072343	1.3078526238702485e-9	1.9022800610713614e-8	Lip2
FBgn0024841	686.8318554778207	0.6971783154437023	8.537219756121727e-20	4.133233964785219e-18	Pcd
FBgn0024941	82.1798744382623	1.00804078732418	2.469914953885954e-6	2.047838967270825e-5	RSG7
