Name	Mean	LogFC	pValue	p.Adj	diffexpressed
Adgf-A	199.49265161981887	-1.4096532073298547	3.781208500524592e-11	7.2221082360019706e-9	DOWN
Apc	1176.9476749537184	-0.6069292300335386	1.0055141965463601e-10	1.745938286730498e-8	NO
Apoltp	634.4752135108047	1.4154270589477995	1.9501736336364444e-31	2.0317263492248775e-28	UP
Asator	393.64696353188094	-0.7434523450792385	6.373413083108702e-7	5.463275443650145e-5	NO
CG10086	225.0662089228563	1.3614298002868594	4.092103555306031e-12	9.018366681501368e-10	UP
CG10508	505.0963119334231	-2.0065967986728084	4.532498693832513e-44	1.038848700626412e-40	DOWN
CG10513	129.60644146683964	-1.7582621885059053	5.342757670418321e-9	7.289047964642138e-7	DOWN
CG10553	182.971408174736	-1.8722674340994963	9.470234411729357e-13	2.2148752318044578e-10	DOWN
CG10734	26504.18977706628	1.6071261100043976	2.5496266210059986e-206	2.9218721076728743e-202	UP
CG10904	100.49719332238753	1.3641363513057252	1.6232252311448508e-6	1.2654531393823122e-4	UP
CG11035	191.92426136606832	0.9838642774780398	1.3855102215696437e-6	1.1026352179991747e-4	NO
CG1116	234.23297949824948	0.9969661764220872	1.4266349798100927e-7	1.499929987947125e-5	NO
CG11257	108.1782341426691	1.3636092668523812	5.804533948396456e-7	5.039390837016923e-5	UP
CG12128	185.28336681125882	1.4156104834451853	2.1750630064011408e-11	4.45111108095662e-9	UP
CG12224	44.17180157474175	3.2748907545873673	7.411549471707776e-11	1.3481961419963669e-8	UP
CG12470	12188.59040826464	-0.7950948900689244	6.461359454807598e-56	1.8511794838023768e-52	NO
CG13488	121.78494722540702	1.3168854222148698	3.8976737977126167e-07	3.5733873377429275e-5	UP
CG13526	611.7842961411658	-0.5051721519907905	4.931358576823963e-5	0.0024254664931503273	NO
CG13876	131.85786814957203	1.1618837063823473	3.028868312268481e-6	2.1968880290251132e-4	UP
CG13901	820.5422235977563	-0.5063158046447606	5.391899858084181e-6	3.65628238897306e-4	NO
CG13999	291.5646998985266	0.8794639012552455	1.916570192079964e-7	1.9610620001103917e-5	NO
CG14151	445.8036868964132	-0.7797506940287218	5.867227699483629e-6	3.9092110137257203e-4	NO
CG14610	53.25710407961919	3.936120877077502	2.558693019678672e-15	8.145172779310439e-13	UP
CG14642	342.10258500351677	0.8243591631186112	1.268497123478749e-7	1.3460163921357838e-5	NO
CG14931	726.4918892203959	-0.5630711733898366	7.808941348434749e-7	6.484816511091465e-5	NO
CG15362	844.8147574052965	0.727843616979337	7.76450120024371e-12	1.6788902595243944e-9	NO
CG15597	61.84448674486643	1.5151849789641325	3.1192207812312364e-5	0.0016782286456765243	UP
CG15631	4246.004243116826	-0.8116566142625673	1.0566243168955545e-38	2.018152445270509e-35	NO
CG15674	117.97128347621313	-1.174589070393211	2.4373692361102053e-5	0.0013759729776267465	DOWN
CG1607	60.148050422721724	1.7848051272982794	1.7139210245572003e-6	1.327130739285508e-4	UP
CG1620	613.684876998055	0.614465509891317	4.2994371378038556e-7	3.910440444383507e-5	NO
CG16848	580.4746283392908	-0.6606325144783625	4.6142356254373593e-7	4.1048498942967824e-5	NO
CG17010	3912.5793652918387	-0.6212425445594152	1.3682907579208648e-22	6.53358836907213e-20	NO
CG17104	1133.0253140540103	-0.5445093750143306	6.4351633847168424e-9	8.575229347541281e-7	NO
CG17177	1821.0515123919572	0.8855073937256029	3.3245723051764655e-6	2.3696053999733575e-4	NO
CG17549	396.4708196780504	-1.0098480768422307	4.7906478402687576e-11	9.000135122865566e-9	DOWN
CG18641	436.98293677563424	1.0259665461756822	1.8958825715105698e-13	5.0527475045374716e-11	UP
CG2233	446.9337906946686	-1.556946779691644	1.2796942838162608e-25	7.718577101333868e-23	DOWN
CG2772	71.87556459643423	-3.2944080741242145	1.7789790734165163e-13	4.85407147175078e-11	DOWN
CG30094	569.7309931988857	-0.5485011571707553	2.8154026609895692e-5	0.0015437566743990653	NO
CG30398	617.787881844878	0.6110142921695663	2.410421344737205e-6	1.817041857977088e-4	NO
CG31053	57.10416704226497	-5.819087179477302	8.795001820418904e-11	1.55062647480001e-8	DOWN
CG31296	264.18011837612164	0.7540304721043883	1.7662611885321174e-5	0.001027479858912592	NO
CG31300	133.3537251433853	-1.2330773266018005	1.572124588727301e-6	1.23401012238458e-4	DOWN
CG31601	2035.2531160992778	0.8537044298458586	4.597565173180653e-28	3.7634354917607345e-25	NO
CG31815	898.7996365657664	0.9309393739943588	1.1091824237554615e-16	3.9722595550742465e-14	NO
CG31935	1015.7103212388917	0.7809638044646359	7.603170296910083e-16	2.562715635370281e-13	NO
CG32006	371.3020721581184	0.674100186616146	1.3306710222742626e-5	8.026047323822658e-4	NO
CG32121	467.6449688003687	1.1890607209270265	6.525980687225912e-17	2.4125076992131924e-14	UP
CG32440	2454.168053251412	1.0121800830736638	1.4729099006509893e-35	2.1099434326825422e-32	UP
CG3301	242.13306896868278	-0.7551292969855795	7.357968121416352e-5	0.0034000933335254597	NO
CG33259	36.90248275716722	-2.1118446105156123	4.5011199248165804e-5	0.002252525516960612	DOWN
CG33281	209.80749269052114	-1.424252651217561	3.071750779821539e-11	6.175835778378042e-9	DOWN
CG34049	773.8175639705402	-0.6692273579098853	7.597710921683656e-9	9.783119905898283e-7	NO
CG3544	323.0785593709899	0.7422825126143971	3.15724646787756e-6	2.2756002843947698e-4	NO
CG3609	283.35766276185325	0.7046629960714508	4.707811722159205e-5	0.0023457183624323694	NO
CG3690	81.17250772605617	-2.7891146941777767	1.6887353641383967e-13	4.7202212861039086e-11	DOWN
CG42324	63.21171017528553	-1.4190249884423527	1.248077762452944e-4	0.00533692953645923	DOWN
CG4238	523.9064026433346	0.6668270099752663	2.337455329601322e-7	2.27010492179925e-5	NO
CG42650	1224.5481387629939	0.9306389595456748	2.105282423154057e-24	1.1488826937783567e-21	NO
CG43050	132.4968342577832	7.891051221438902	6.492677906949376e-20	2.861772646678456e-17	UP
CG43059	560.3367742507056	0.5834975502440838	3.5015122069839155e-6	2.476995672347881e-4	NO
CG43110	293.15720077635604	1.9051997977288724	1.0522079513264698e-27	8.03886874813423e-25	UP
CG43167	230.03816321254948	-1.1178629949934211	1.7347443585976985e-8	2.092649510476803e-6	DOWN
CG43231	352.62990673389834	0.6812894830429645	1.7645951440110055e-5	0.001027479858912592	NO
CG43333	30.947317819393213	2.5322728056877106	9.457691986722976e-6	6.055036322225994e-4	UP
CG43449	1279.895914669155	-0.620491471396235	3.284813702960542e-11	6.487492063713915e-9	NO
CG43691	1288.7775825511087	1.1067558458779383	2.5797950987680844e-35	3.284939092431361e-32	UP
CG43750	1921.8358620657866	-0.5244787812775187	3.33998282512322e-11	6.487492063713915e-9	NO
CG43795	88.01056954519655	5.5042151737352505	7.204217333837988e-11	1.331618236222312e-8	UP
CG43800	455.9139709897284	-0.7768146448930062	7.715884762054895e-7	6.484505553854667e-5	NO
CG44037	89.78446136617097	-1.2317691354527522	9.91396032761892e-5	0.0043697686674812625	DOWN
CG4467	20.311720824560243	-2.9599144359211937	1.3838181163471465e-4	0.005745853483093586	DOWN
CG4686	3189.4718856536	0.6968256529754433	2.612730413123414e-26	1.7612876784937837e-23	NO
CG4716	200.16036361131268	-0.9110360790501104	3.062797672247201e-5	0.001655644402073251	NO
CG5435	1405.091310682386	0.5422390741895412	2.5100295301601913e-10	4.230138002299381e-8	NO
CG5543	228.62177202777482	1.3777123604806785	4.390980521189276e-13	1.09392688636585e-10	UP
CG5550	24.143529854885482	-3.7640051031568804	4.27690845105165e-6	2.934932386170773e-4	DOWN
CG5727	369.5388203623304	0.620525698503003	3.545066639523446e-5	0.0018383015243863662	NO
CG5850	1339.1151607410898	-0.553669503847816	5.64294430546305e-10	8.981686352862021e-8	NO
CG5945	15.995735544152957	4.812875914192648	6.782740942695191e-6	4.4672535174302807e-4	UP
CG6675	413.3092985366742	-0.6790795168463883	5.739342520810165e-6	3.8463663911394443e-4	NO
CG6841	283.3634769793995	0.8584449992638035	5.041581475937907e-7	4.410421657576215e-5	NO
CG6985	382.64936517614296	0.5623295738139781	1.3523558995961267e-4	0.005635635857953313	NO
CG7810	175.50944973654308	-0.8176419669968576	2.15382199266717e-4	0.00844998927294012	NO
CG8249	55.51303481628211	1.5852685023492972	3.365288917656145e-5	0.0017610142007460923	UP
CG8252	1201.6652889272286	-0.5282143168654444	1.046557383156708e-8	1.3036464794538994e-6	NO
CG8665	881.95165418016	-1.1814600187888902	5.844919064059676e-26	3.721265137451327e-23	DOWN
CG8852	120.05006853622271	-1.4874041437708074	1.8418108625222624e-7	1.9015452688743357e-5	DOWN
CG9147	1372.4476303751355	0.7513844734739534	7.743635324298653e-18	3.06007106263664e-15	NO
CG9265	335.5421881052835	0.6703488273049965	2.476209102773472e-5	0.0013910468783227448	NO
CG9360	38.6653151308346	-2.268449786860205	3.2726334035782946e-5	0.0017525410656545448	DOWN
CG9643	131.62120633985663	1.7781368214094209	1.9454351747666567e-11	4.128645759782572e-9	UP
CG9825	95.95401140826752	8.014365969556899	2.94275656601633e-14	9.114591958526256e-12	UP
Ca-alpha1D	590.9482558609337	0.6735488101719073	1.6270117151352967e-7	1.6950503868591363e-5	NO
Chro	504.4122617264561	0.5145745985446427	7.526206096283921e-5	0.0034638683479282623	NO
Cortactin	783.1783784264244	-0.6457554870943749	3.743873029517894e-9	5.363098114784384e-7	NO
Cpr51A	171.89904072841253	1.6686227910547071	4.806232953226513e-14	1.4122930677942524e-11	UP
Cyp12b2	272.32172004946585	3.328863871351197	1.1351007578760367e-59	4.33608489508646e-56	UP
Cyp305a1	719.4497988188525	0.5783183822070815	3.007851103837522e-7	2.825407676227705e-5	NO
Cyp310a1	282.2115059520503	1.7924950387252816	2.8404281086992677e-24	1.479604823895164e-21	UP
Cyp4p3	144.80089506796162	-1.504535999780584	1.3262947972466126e-9	1.9999129442692341e-7	DOWN
Cyp6d5	1062.3825802149202	-2.043987920078579	2.7408845410406928e-67	1.570526842016317e-63	DOWN
DIP-delta	135.8019583050062	-1.1725420336393493	2.8347432790109717e-6	2.069789201175886e-4	DOWN
DNApol-alpha73	64.9984955301581	2.0913719220727693	7.294759698360693e-9	9.499766607183357e-7	UP
DNApol-epsilon255	206.9514193289607	1.2131562343111288	6.937095155476142e-9	9.137828791006504e-7	UP
Der-1	2275.7473810153906	-0.9601518603418712	8.694917597749262e-38	1.4234822238600933e-34	NO
Ect4	745.5038426037595	-0.7340542336658825	1.4613812837886607e-10	2.499616345107172e-8	NO
Fen1	158.25856772030983	1.3097254470259043	8.057077190664495e-9	1.02094630270515e-6	UP
Fic	258.5264606129719	0.7587393777981404	5.933081072414506e-5	0.002868907556534609	NO
Gcn2	426.41918165069416	1.0515366853731465	2.1785783077227153e-12	4.993301481300464e-10	UP
Gr28a	25.189630299750192	4.012722978311542	4.119465338812317e-8	4.720907278278915e-6	UP
H15	41.3361136544969	2.413580799793511	1.9992745345024726e-7	2.0275828464954277e-5	UP
HGTX	157.70564263399186	0.9435976622720141	4.855458423148993e-5	0.002398429031434804	NO
Hs2st	203.40362124222304	1.037791320888381	2.1216850595978884e-7	2.114305285477548e-5	UP
IA-2	806.3743628565943	-0.5164579502236294	2.3341729123886797e-6	1.7714981176141902e-4	NO
IM1	12.26128596543607	7.4714803718671785	3.991179782368191e-6	2.7720557761175437e-4	UP
Ir100a	57.737287997912986	-2.7215057415381723	1.441585234431195e-9	2.1455281541014928e-7	DOWN
Lst	62.974411596113384	-2.470837814019149	4.834745847942653e-9	6.756852124075951e-7	DOWN
Mccc1	472.4355788658636	1.3643693612117511	1.475675797080012e-23	7.35271505849432e-21	UP
Mdr49	138.5801762007504	1.087264274286564	7.226362566889792e-6	4.7053474441225573e-4	UP
Mst77Y-16Psi	30.009436922074368	-4.868591142076871	2.898529617368907e-7	2.7452189599212958e-5	DOWN
OSCP1	14.368148961374896	3.5601795053967766	6.254309716036206e-5	0.0029740410516919053	UP
Obp56d	60.62533617575248	-1.486579473465814	1.3168431277980254e-4	0.0055232372583451685	DOWN
Obp56i	407.24803280353416	1.3533399425598993	1.5754157917873674e-18	6.447951776386868e-16	UP
Orc4	242.099312640993	0.903724771630689	1.9049627894713393e-6	1.4651592998215804e-4	NO
Pcd	136.54092972820337	1.9052741238629216	3.897499475206029e-14	1.1754037891016076e-11	UP
Pp1-Y1	97.26730346452244	-8.192939747902129	1.9311814158841966e-8	2.3053478152117596e-6	DOWN
Prx2540-1	206.71838673561282	1.1206220697732199	3.840864964199267e-8	4.446092170679151e-6	UP
Pvf2	185.45229789242146	-0.9490759736296109	2.5205827900186717e-5	0.0014090672572494624	NO
Rab19	429.20575692909165	-0.673454261045799	2.746328623796448e-6	2.0305113566907934e-4	NO
RhoGEF64C	48.1445052639326	-1.8266727937269398	3.328846412252552e-5	0.0017562317688569575	DOWN
RnpS1	636.8261825092054	-0.5087249601926978	1.8295318583848623e-5	0.0010589108634894203	NO
SP2353	122.0968088583368	3.533306847913847	2.1156667745164318e-30	2.0204617696631922e-27	UP
Samuel	439.45648094519447	0.5841632376241321	2.8075391843851357e-5	0.0015437566743990653	NO
Start1	164.15485010762018	-0.9741267868168314	2.894531123585096e-5	0.0015795869845850095	NO
TBC1D16	80.48338613294774	-1.707903625465456	3.7125603503722347e-7	3.4311243238117586e-5	DOWN
Tig	128.2147586903332	1.283714667353059	4.7520166258511364e-7	4.189085425558002e-5	UP
TpnC4	28.499010117137534	2.4861624349972544	1.680359528940873e-5	9.977678860964977e-4	UP
TwdlW	23.13872141729427	-7.56895515844332	8.051792568341131e-7	6.638384376488444e-5	DOWN
Ugt36Bc	58.401129834508126	-1.6694132490327642	3.7522550787259305e-5	0.001928288932834043	DOWN
Ugt86Da	188.2506614337332	-0.8585101527465919	6.387450389461557e-5	0.003024800886910308	NO
Ugt86Di	13.95686824431732	3.248470332826008	1.855288169397512e-4	0.007460211375893153	UP
Vps52	586.0633389331333	0.5064159140649698	2.9928322612386247e-5	0.0016254908869096985	NO
ZnT49B	285.3637433950938	0.6455571136611512	1.2616623042913873e-4	0.005365075262412546	NO
a	237.04441899814051	1.164740293633364	3.297637307069211e-10	5.3987033627161656e-8	UP
aru	318.00526695931393	1.9536290674544938	2.290950209183752e-29	2.0195607228650612e-26	UP
asRNA:CR30267	48.16567672393607	1.9040659943497062	5.576314464416245e-6	3.7590919860123627e-4	UP
asRNA:CR43430	373.39046203956815	1.3587303918238038	2.3265312033681336e-19	9.874832440962523e-17	UP
asRNA:CR43463	215.10929892693844	0.7695565468197118	7.297333199890869e-5	0.0033994893687296487	NO
asRNA:CR44287	136.47561007765012	0.953721065508405	9.448501901557503e-5	0.004180688486171776	NO
asRNA:CR45257	41.489054516414214	-2.4740099896350136	2.4258935800217666e-6	1.817041857977088e-4	DOWN
asRNA:CR45271	238.59247836526475	-1.1757579956441337	8.162585065299651e-10	1.247242997977787e-7	DOWN
asRNA:CR45890	24.60080034135328	2.6031702556272007	2.06179277387613e-5	0.0011873439793276608	UP
asRNA:CR45970	103.28386770135603	1.314534649565648	3.3290267835576836e-6	2.3696053999733575e-4	UP
asRNA:CR46089	51.27879079207197	2.4712143257523453	1.722866324223949e-8	2.092649510476803e-6	UP
asRNA:CR46138	121.59949789294592	1.239842570619791	2.835575083635376e-6	2.069789201175886e-4	UP
bon	414.4486403378746	-0.5377465170933013	2.0307873432994173e-4	0.008052879914952014	NO
brp	341.77960701565644	0.8347683142153672	1.104589173666322e-7	1.1942067858694387e-5	NO
cathD	436.4221526274316	0.6203969803044916	3.340824830809919e-5	0.0017562317688569575	NO
cype	205.19243509962882	0.7536817566985163	2.2826340406921324e-4	0.008867452917400622	NO
eEF1alpha2	233.24286765306238	-0.7754099326534503	4.433603374180072e-5	0.0022284690643905097	NO
fon	99.6882411112025	-1.2292350763756246	2.7773195943099223e-5	0.0015375885290237542	DOWN
fry	3040.947439266314	0.6497449244685486	2.1520596074283376e-20	9.8650412404515e-18	NO
hng2	445.23161600635717	0.6890178421764758	7.75198307921544e-7	6.484505553854667e-5	NO
jef	330.7617691940125	-7.372023791895298	5.819892415277535e-34	6.669596707908054e-31	DOWN
kek1	292.5853781700907	0.9310589025984441	3.5446468306119026e-8	4.145066599878817e-6	NO
lncRNA:CR40172	174.36602539551845	-1.2205095205872256	4.8046933662917745e-8	5.451661977990469e-6	DOWN
lncRNA:CR42844	261.90895900040493	1.0356415530797805	6.265072498893806e-9	8.446791863214471e-7	UP
lncRNA:CR43304	243.89882515887498	0.9385325072436782	2.728144760191888e-7	2.605378245983253e-5	NO
lncRNA:CR43605	310.71692242922967	0.6711029230590756	8.974638538863233e-5	0.004001517925117855	NO
lncRNA:CR43763	160.3118853472641	1.0895880257490866	1.2672192234912443e-6	1.0155477133713048e-4	UP
lncRNA:CR43807	98.86229993376645	1.8445271895286899	3.1151696338823496e-10	5.173890435404598e-8	UP
lncRNA:CR43826	71.06314701132462	1.3442261839501035	8.88980925965417e-5	0.003979578676392062	UP
lncRNA:CR43846	71.66912058548745	-1.9622923979616904	2.2806758944829983e-7	2.233892799211552e-5	DOWN
lncRNA:CR43881	74.31288474213203	1.2669241143001728	1.662655056149307e-4	0.006709164416715161	UP
lncRNA:CR43990	71.83993582839645	1.4180261352593768	2.2696490527379306e-5	0.0013005089072188343	UP
lncRNA:CR44017	510.77236597901424	0.7304939215737538	2.031915523409433e-8	2.40059297920331e-6	NO
lncRNA:CR44178	623.6483599469047	0.5736440574035341	1.7374527478384213e-5	0.001026350953104552	NO
lncRNA:CR44214	171.5543363955732	1.0399448612536994	2.2826895934228715e-6	1.743974849375074e-4	UP
lncRNA:CR44222	156.30558387449275	-0.8525068333417376	2.4112756671768184e-4	0.00927289233082092	NO
lncRNA:CR44302	212.51414652248536	-0.8696942463245345	1.2141670437630777e-5	7.505748282944268e-4	NO
lncRNA:CR44396	214.93070662806582	-1.054854272577861	2.224834155577329e-7	2.1979827088720853e-5	DOWN
lncRNA:CR44418	245.47190223332183	0.6905088596928357	1.4327309875024013e-4	0.005906150042006302	NO
lncRNA:CR44486	223.28525286311225	1.4141913943056525	2.368412429717096e-13	6.168637828308619e-11	UP
lncRNA:CR44491	25.740721151029682	3.1982220928811893	8.515874943053738e-7	6.921413251588357e-5	UP
lncRNA:CR44601	214.58711590578113	-1.6614605667175872	5.262593263220391e-13	1.2564441415938684e-10	DOWN
lncRNA:CR44603	19.586590342888698	-3.444527776570049	6.212817043218826e-5	0.0029666201381369894	DOWN
lncRNA:CR44639	21.337401295392883	-2.826656368892788	1.5504262995584659e-4	0.006300668579056744	DOWN
lncRNA:CR44644	147.0553757991891	1.7460993159278935	4.845966237472442e-13	1.1815909166262594e-10	UP
lncRNA:CR44686	367.1659380292174	-1.7743388287963242	1.861376753116471e-27	1.3332110994196725e-24	DOWN
lncRNA:CR44732	31.51999233041468	-8.012657726028415	1.1463304668712395e-7	1.2277520701256453e-5	DOWN
lncRNA:CR44735	23.706559542060347	6.010682812083711	2.592714381964611e-7	2.4968493123793646e-5	UP
lncRNA:CR44824	203.26057606839794	0.8388545741346285	3.326781320931514e-5	0.0017562317688569575	NO
lncRNA:CR44846	154.37215810424414	-1.0238392370819314	1.667774299759273e-5	9.954527851688162e-4	DOWN
