gene_id	module
ACCORD2	red
BARI_DM	red
BATUMI_I-int	green
BEL	yellow
BLOOD	turquoise
BS	green
BS2	green
BS3_DM	turquoise
BURDOCK	green
Baggins1	green
Bica	yellow
CIRCE	yellow
Chimpo	yellow
Copia	brown
Copia1_DM	yellow
Copia2	yellow
DIVER	red
DIVER2	green
DM1731	yellow
DM176	blue
DM297	yellow
DM412	red
DMCR1A	green
DMRT1A	yellow
DMRT1B	yellow
DMRT1C	yellow
DNAREP1_DM	red
DOC	turquoise
DOC2_DM	yellow
DOC3_DM	yellow
DOC4_DM	yellow
DOC5_DM	blue
FB4_DM	green
FBgn0000008	yellow
FBgn0000014	turquoise
FBgn0000015	turquoise
FBgn0000017	green
FBgn0000018	green
FBgn0000028	blue
FBgn0000037	blue
FBgn0000038	blue
FBgn0000042	turquoise
FBgn0000044	turquoise
FBgn0000046	turquoise
FBgn0000052	turquoise
FBgn0000053	turquoise
FBgn0000057	yellow
FBgn0000063	black
FBgn0000064	turquoise
FBgn0000075	blue
FBgn0000078	yellow
FBgn0000079	green
FBgn0000083	turquoise
FBgn0000084	turquoise
FBgn0000100	brown
FBgn0000114	turquoise
FBgn0000120	red
FBgn0000139	grey
FBgn0000140	blue
FBgn0000146	green
FBgn0000147	blue
FBgn0000157	green
FBgn0000163	turquoise
FBgn0000181	brown
FBgn0000182	brown
FBgn0000228	brown
FBgn0000239	blue
FBgn0000241	turquoise
FBgn0000244	turquoise
FBgn0000246	yellow
FBgn0000247	yellow
FBgn0000250	blue
FBgn0000251	red
FBgn0000253	green
FBgn0000273	turquoise
FBgn0000276	green
FBgn0000277	grey
FBgn0000286	blue
FBgn0000287	brown
FBgn0000289	green
FBgn0000299	turquoise
FBgn0000317	blue
FBgn0000318	brown
FBgn0000337	blue
FBgn0000339	blue
FBgn0000352	blue
FBgn0000355	green
FBgn0000370	black
FBgn0000395	red
FBgn0000404	blue
FBgn0000405	blue
FBgn0000406	brown
FBgn0000412	blue
FBgn0000414	turquoise
FBgn0000416	green
FBgn0000422	turquoise
FBgn0000426	blue
FBgn0000427	turquoise
FBgn0000439	yellow
FBgn0000447	turquoise
FBgn0000454	turquoise
FBgn0000473	brown
FBgn0000479	turquoise
FBgn0000489	green
FBgn0000490	turquoise
FBgn0000492	turquoise
FBgn0000504	turquoise
FBgn0000527	blue
FBgn0000533	red
FBgn0000541	yellow
FBgn0000546	turquoise
FBgn0000547	brown
FBgn0000557	brown
FBgn0000560	turquoise
FBgn0000562	turquoise
FBgn0000566	turquoise
FBgn0000568	turquoise
FBgn0000575	turquoise
FBgn0000577	green
FBgn0000578	green
FBgn0000581	yellow
FBgn0000592	turquoise
FBgn0000611	turquoise
FBgn0000625	brown
FBgn0000635	turquoise
FBgn0000636	brown
FBgn0000667	turquoise
FBgn0000711	turquoise
FBgn0000719	turquoise
FBgn0000721	turquoise
FBgn0000810	yellow
FBgn0000964	turquoise
FBgn0001075	yellow
FBgn0001077	brown
FBgn0001083	yellow
FBgn0001086	blue
FBgn0001089	blue
FBgn0001090	turquoise
FBgn0001092	turquoise
FBgn0001098	turquoise
FBgn0001099	blue
FBgn0001108	red
FBgn0001112	blue
FBgn0001114	blue
FBgn0001122	blue
FBgn0001123	red
FBgn0001124	turquoise
FBgn0001125	brown
FBgn0001128	brown
FBgn0001134	grey
FBgn0001142	turquoise
FBgn0001145	turquoise
FBgn0001147	blue
FBgn0001148	yellow
FBgn0001149	brown
FBgn0001168	blue
FBgn0001169	yellow
FBgn0001179	blue
FBgn0001180	turquoise
FBgn0001186	turquoise
FBgn0001187	turquoise
FBgn0001189	green
FBgn0001197	yellow
FBgn0001206	yellow
FBgn0001215	blue
FBgn0001216	turquoise
FBgn0001220	blue
FBgn0001224	brown
FBgn0001225	blue
FBgn0001226	blue
FBgn0001228	brown
FBgn0001233	blue
FBgn0001234	green
FBgn0001248	blue
FBgn0001250	turquoise
FBgn0001257	blue
FBgn0001258	turquoise
FBgn0001263	green
FBgn0001269	red
FBgn0001280	turquoise
FBgn0001281	turquoise
FBgn0001297	turquoise
FBgn0001301	turquoise
FBgn0001311	turquoise
FBgn0001316	turquoise
FBgn0001404	yellow
FBgn0001565	turquoise
FBgn0001612	yellow
FBgn0001624	turquoise
FBgn0001965	yellow
FBgn0001970	turquoise
FBgn0001977	blue
FBgn0001978	blue
FBgn0001986	blue
FBgn0001987	turquoise
FBgn0001989	turquoise
FBgn0001990	yellow
FBgn0001991	yellow
FBgn0001995	blue
FBgn0002021	brown
FBgn0002023	blue
FBgn0002036	turquoise
FBgn0002121	red
FBgn0002174	blue
FBgn0002183	yellow
FBgn0002283	blue
FBgn0002306	yellow
FBgn0002354	turquoise
FBgn0002431	blue
FBgn0002441	yellow
FBgn0002466	red
FBgn0002521	green
FBgn0002522	yellow
FBgn0002525	yellow
FBgn0002526	turquoise
FBgn0002542	yellow
FBgn0002543	turquoise
FBgn0002552	blue
FBgn0002565	yellow
FBgn0002566	brown
FBgn0002567	blue
FBgn0002570	grey
FBgn0002579	brown
FBgn0002590	brown
FBgn0002593	brown
FBgn0002622	brown
FBgn0002626	brown
FBgn0002638	blue
FBgn0002641	turquoise
FBgn0002643	turquoise
FBgn0002673	blue
FBgn0002715	blue
FBgn0002719	yellow
FBgn0002734	blue
FBgn0002772	turquoise
FBgn0002773	turquoise
FBgn0002774	blue
FBgn0002775	blue
FBgn0002778	turquoise
FBgn0002780	blue
FBgn0002787	blue
FBgn0002789	turquoise
FBgn0002791	blue
FBgn0002838	brown
FBgn0002842	yellow
FBgn0002862	turquoise
FBgn0002863	brown
FBgn0002865	brown
FBgn0002868	blue
FBgn0002872	yellow
FBgn0002873	blue
FBgn0002887	blue
FBgn0002891	blue
FBgn0002899	yellow
FBgn0002901	yellow
FBgn0002905	turquoise
FBgn0002906	blue
FBgn0002914	red
FBgn0002921	turquoise
FBgn0002924	blue
FBgn0002926	brown
FBgn0002930	blue
FBgn0002931	blue
FBgn0002932	yellow
FBgn0002941	grey
FBgn0002945	turquoise
FBgn0002973	brown
FBgn0002989	blue
FBgn0003008	yellow
FBgn0003009	blue
FBgn0003011	blue
FBgn0003015	red
FBgn0003016	turquoise
FBgn0003023	yellow
FBgn0003034	yellow
FBgn0003041	brown
FBgn0003044	yellow
FBgn0003048	yellow
FBgn0003062	green
FBgn0003068	brown
FBgn0003074	brown
FBgn0003076	turquoise
FBgn0003089	yellow
FBgn0003093	turquoise
FBgn0003124	blue
FBgn0003129	turquoise
FBgn0003130	blue
FBgn0003134	blue
FBgn0003137	turquoise
FBgn0003140	brown
FBgn0003145	turquoise
FBgn0003149	turquoise
FBgn0003162	blue
FBgn0003165	turquoise
FBgn0003174	red
FBgn0003175	red
FBgn0003189	yellow
FBgn0003206	turquoise
FBgn0003209	turquoise
FBgn0003218	turquoise
FBgn0003231	red
FBgn0003248	red
FBgn0003254	yellow
FBgn0003255	green
FBgn0003256	red
FBgn0003267	green
FBgn0003268	blue
FBgn0003274	brown
FBgn0003275	turquoise
FBgn0003277	red
FBgn0003279	brown
FBgn0003301	turquoise
FBgn0003308	red
FBgn0003310	turquoise
FBgn0003317	yellow
FBgn0003321	blue
FBgn0003328	red
