Gene	logFC_SDMad	p.Adj_SDMad	logFC_SD5	p.Adj_SD5
asp	0.30795534235394967	3.069094209785884e-14	0.35332566620034533	1.533239170390627e-12
chic	0.10376721910238018	0.010281985729914215	0.10614484655732195	0.02468728425651139
Chc	-0.0534404952469023	0.316201641801702	-0.093033200146503	0.08199520016136291
EcR	-0.319592939081698	0.02714423617666125	-0.3353765929901899	0.021113744898110097
shi	0.030760187428534334	0.5965475541758088	-0.005449811208523091	0.9447462722514158
sw	0.21617908994315654	0.18205449037323274	0.20561088231122546	0.23121770456773888
hid	0.1410754063515747	0.5182181508471602	0.26261871796080943	0.2054298110754631
Dcp-1	-0.22409540151791815	0.27838687728271505	-0.19786389989854267	0.38044619031628074
heph	0.2815382415713079	1.0003347052494875e-14	0.30956627462074127	1.2935290609529184e-10
jar	-0.1349566107679439	8.096074715963769e-4	-0.16560029503509133	1.804939533941146e-4
poe	0.023115837584036375	0.6219364382275802	0.12371646038194527	0.01271258661571697
scat	0.16615790695346838	0.11703382713237664	-0.1259525891068247	0.30529260914928413
Hsp60B	-0.2962406031509642	2.963363998258538e-19	-0.055223142750410105	0.31555835130322163
ctp	0.16804127155064377	0.025023395218732477	0.18684360893686577	0.01906573799432887
Rab11	0.10542891577715205	0.12597174974742195	-0.0596348438583767	0.49656465226343705
Drice	-0.06425528615271797	0.8177558361863219	-0.10849617089488583	0.6848934217376069
Dredd	-0.08490502258034333	0.7183279854123515	-0.30291818967802914	0.14060967336534347
asun	0.09023174935924064	0.6460407677254848	0.4027014494896337	0.004647243131226101
Osbp	-0.1738605633484109	7.845164413551798e-4	-0.1843330575581278	0.0038663066097887155
Vps28	-0.17559752766362458	1.315018418649123e-4	-0.09212926872548284	0.16930287543859915
Npc1a	-0.35365876210607927	2.010308143934263e-14	-0.3600343138987828	8.666496092197592e-13
Dlc90F	-0.04834971721030611	0.41911617608967905	0.011564826402966622	0.8920906771385666
Dronc	0.1736186111068164	0.08995522262979733	-0.05260087873827425	0.7054032280908451
Taz	-0.04405582503454037	0.5453546402248666	0.027607772976950273	0.7711445398122985
nes	0.08867007590442648	0.19274106049575104	0.07479840587776354	0.3209981754678514
fan	0.06487126744031867	0.19486586910991577	0.13793109353023417	0.007592222183677142
Pink1	-0.15736640070345578	4.3672587099407645e-4	-0.09056378923146872	0.11852676535953087
TTLL3B	-0.16854728530195812	4.8705174960051535e-6	-0.06728573539613816	0.16510044839021748
gudu	-0.021979845018216725	0.7587797241060328	-1.085965862780173	1.6340006395606291e-109
Bug22	-0.19455195897520064	9.985180768211644e-5	-0.1606845465785382	0.00861117359243031
oys	0.0312182432997784	0.5846114750713283	-0.20681840596929116	4.757686090293613e-6
eIF3m	-0.16008668620655903	0.0055385886579390345	0.1256667972462206	0.1012191951270482
Dcr-2	0.015187170962578258	0.8923425918594659	-0.211211254632296	0.00901376018906449
Rae1	0.12086497308064344	0.417880947754369	1.8433473744134763	1.2550568001122824e-119
nsr	0.13285328826532672	0.038418616133277905	0.37505703837348736	3.1106897983360233e-9
blanks	0.22403517150638227	7.19394858141249e-4	0.6839288943083196	1.9378986735020562e-30
aux	0.2060914813471754	2.692100199037809e-5	0.0791485471908633	0.2687336741613361
soti	-0.0036126377895369117	0.9634542944258546	0.2032554921426073	4.8726827066153676e-4
Fadd	0.6999058657250532	1.099789106538092e-5	0.49996453190377893	0.0041159491609110525
Gld2	0.12265641506097841	0.013789402096894419	0.13943182675326182	0.012564099875781855
mfrn	0.007534540493402831	0.9124354830670186	0.1896547693435141	7.8670594079195e-5
klhl10	0.056683380370208	0.27278586467885	-0.04948690332652863	0.4256747772850866
Top3alpha	0.2081713718121667	0.07602805378228188	-0.13598182781922954	0.36042194469171684
Roc1b	-0.3104531498596118	6.437800558365114e-4	-0.20702508444977966	0.06476594488781945
park	0.3296982291940752	8.767485397914675e-9	0.28112775104745347	8.921567932540082e-6
yuri	-0.07518033045098357	0.06381879746172922	-0.03735308764640688	0.49624068931918697
Mer	-0.039188774982622174	0.9082869484648506	0.06806294751902521	0.8431825868865938
Cyt-c-d	-0.1539519089640127	0.2728806690329064	-0.036006547585164764	0.7257581345208705
AGO2	-0.03562987916581535	0.6212733131060392	0.008236622123212948	0.9270222963602939
gish	-0.03014793933629863	0.5948564614671968	-0.13691170586086623	0.02137155186958693
Prosalpha6	0.1766998490292383	0.021045260441243368	0.15801654718385988	0.051445180874005125
Baldspot	-0.1927597217975994	0.21676216314246322	-0.23196137740593845	2.1108171141349415e-4
Cul3	-0.09895096721801905	0.007825812878291422	-0.08024926379496014	0.1153606480275828
didum	-0.16180325671130108	5.46743881396428e-6	-0.17784450949832384	3.950130953101357e-5
Pxt	-0.32229660521136666	0.4552807499728403	0.2034001641555888	0.6338383304281748
Arp3	-0.00500132677690325	0.9716773834141051	-0.13901447665252675	0.20785652573556365
Dark	0.26100187072781966	0.002604264523606983	0.34851285608538923	2.9886210245535556e-4
Dic61B	-0.12660227517781977	0.025749923374189184	0.05149672076224781	0.5170638279490873
orb2	0.09284143047799806	0.003639005761221342	0.08151413748398559	0.16542598596473077
eIF4E3	0.15706070277406223	4.237703910986923e-5	0.07017313889451134	0.23682629966995092
mlt	-0.039699427315737806	0.4669445224616398	0.03867286218096381	0.5584620111092096
Bruce	0.16966160915328077	6.114820983847862e-6	0.0699440273115512	0.24059204051203037
rn	-0.39658509784948626	2.806033366237812e-6	-0.35479559729603816	7.394563001121381e-5
