Gene	logFC_SDMad	p.Adj_SDMad	logFC_SD5	p.Adj_SD5
asp	0.03487015062773189	0.9361397548175577	0.6975215846749733	1.8581248320310073e-4
chic	0.0634390080828976	0.875974630232778	1.1138886701098925	0.116612340869679
Chc	0.004510415600956462	0.9921426862867154	0.18526063037948345	0.33892722420275095
EcR	-0.39456513356862666	0.5169119723178183	-0.191900414706268	0.6017903722920666
shi	0.01672131323056072	0.969759452173202	-0.08243585599877752	0.7518008229870201
sw	-0.07593841309589272	0.9481776703253976	-0.3124841579299169	0.7211299294033762
hid	-0.16051349380357827	0.7995992116160962	0.21183094795366925	0.39040250990508807
Dcp-1	-0.35234518982495067	0.6815524620780715	0.27782148421039365	0.5819791338585346
heph	-0.10701110985300154	0.5149892702157001	0.8855187614810843	8.370149170794909e-4
jar	0.09799980588605785	0.5652934152814432	-0.1026333189367507	0.7649933239579323
poe	-0.04421485165839141	0.8848006681366852	0.2205300291170416	0.22488028320849063
scat	0.3655852490823571	0.3130229769368912	0.6412451785534591	0.022863227616511543
Hsp60B	0.03375986336538583	0.9207777868487093	-0.27872915672948667	0.5537676906073478
ctp	-0.16215576567172926	0.5127755452176385	-0.10686663782357607	0.6441058994075788
Rab11	0.06221841393753261	0.8964183028710013	-0.10765386709914539	0.8643098156604067
Drice	-0.3070589999799464	0.7709694384319351	-0.13822854139270507	0.7028990109939441
Dredd	0.02796066995560588	0.9837080208780984	-0.6281176622563521	0.02504785596899147
asun	-0.12864438032234987	0.9268080107011092	1.0627107940397456	0.030645297294642288
Osbp	0.09251455633581185	0.8225938080434229	0.11343453552486468	0.9016505615056933
Vps28	0.06578288277402802	0.8698443483142437	0.7801988025201235	0.2725339305392145
Npc1a	-0.23539285220504486	0.02424435166039432	-0.9791798565728347	0.020246311654635727
Dlc90F	-0.0011336995949948394	0.9967150566574047	-0.21135694653306994	0.40473348364025835
Dronc	-0.08886076512643268	0.8932348791507194	-0.4347688075701523	0.16785855912587014
Taz	-0.07677406312153402	0.8317043573710556	0.1299468319937538	0.7583343503420759
nes	-0.1016950606316313	0.7193708047582142	-0.5572565093805742	0.06449178015091964
fan	0.011413593620906801	0.9819047886963692	-0.47554573702050884	0.33183839037390656
Pink1	0.05298507639985207	0.8872666255748533	0.729222979785748	0.25100409324999734
TTLL3B	0.02179760751260082	0.9508642502918035	0.17059563030724997	0.3268980754993771
gudu	0.05015786087929031	0.8916776455294663	-1.0577478252005763	1.794553656841609e-8
Bug22	-0.09025233065222446	0.6568117422184615	-0.6507660889626165	0.12578301122160754
oys	0.12192005471009507	0.48117852274644474	-0.10465232965714216	0.5423045235266852
eIF3m	-0.11265672333534912	0.6692831438280893	0.055296445785406365	0.8931841435200899
Dcr-2	0.014886875130881844	0.9826900840551072	-0.23705070853602547	0.565096848187248
Rae1	0.11529439502537266	0.8942701815764634	2.1325103159366283	1.3943599339618466e-10
nsr	-0.2574269622508258	0.04708279083389193	-0.13795802069197988	0.47687717552817654
blanks	-0.2520492596738945	0.04684381681040802	-0.1717546580526117	0.7597754694718755
aux	0.06153028871430413	0.8902305274772936	0.557450228544496	0.06753305521610853
soti	-0.132879199811272	0.37750055012069905	-0.3792873906590313	0.02679674974918392
Fadd	0.6669332321594108	0.11312582854362539	0.5034646276826049	0.10880815183273432
Gld2	0.07679710454628427	0.8404144320523385	0.012094240133186766	0.9798606493814361
mfrn	0.045737493082301205	0.9179708089746046	1.0359274013065585	0.20719460050457014
klhl10	0.032063347882386496	0.9296729004371259	-0.6044838143902792	0.0851542862134068
Top3alpha	0.02474020549516662	0.9803125507755773	-0.37643643441970515	0.20064587162412906
Roc1b	0.017650729849188897	0.9764431373868934	-1.9214612353271112	7.477017964087339e-6
park	0.3175602212962497	0.04411124132052561	0.4249018090567639	0.06565050287614034
yuri	0.10557337423729732	0.5374184996446782	0.19078032575707918	0.332334228216639
Mer	-0.34264124593075634	0.7934660603602799	0.2534921103040912	0.679036364249105
Cyt-c-d	0.1140200506743349	0.5094137761895775	-1.3394677618759658	1.5263740820613168e-19
AGO2	-0.21069593186644245	0.10962439250570861	-0.06569146874740515	0.7624122541754128
gish	-0.05095294375773881	0.8520189764301617	-0.5242660527252757	0.06694124839563294
Prosalpha6	0.03298808347270465	0.9654388210963594	0.8412883566832712	0.0020243706402873728
Baldspot	-0.13405119662278098	0.5415945170134614	-0.28116327843142375	0.24509334891951517
Cul3	-0.05889079677069771	0.8114415860015901	0.028508919426444304	0.8883499072239853
didum	0.008571575711295826	0.9833008981006323	-0.12280255743140248	0.4791864969043639
Pxt	-0.58716281683527	0.8053701406462797	0.5312388029906319	0.25100409324999734
Arp3	-0.039884120143186784	0.9593125992282444	-0.012846597466760867	0.9603217803845707
Dark	0.03352166706072408	0.9604538041243846	0.015770403302308732	0.9724548697887573
Dic61B	-0.05558553700264308	0.8971573800599816	0.23120688425038569	0.2511382444464637
orb2	0.015873908664404527	0.9663998867377703	0.05233748357951198	0.8540590212411019
eIF4E3	0.02494029725920423	0.9508642502918035	-0.44189372198179194	0.5280259163940642
mlt	0.10240586292026112	0.6169278542107405	0.4163431674127045	0.4614218207512084
Bruce	0.06510597117026666	0.8472812415619523	0.3532388470321048	0.020100980558044677
rn	0.016377612791296736	0.9867754097013482	0.42453049248563673	0.6828225381004899
