"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","REACTOME pathway","R-DME-162582","Signal Transduction","873","251","7.479","1.3457","0.428","7.1739623633514e-8","7.14424090608655","0.0000880245181983217","0.0000880245181983217","0.000676904192328386","CG30060,Vha100-3,CG33310,Pp2A-29B,CG42458,CG7369,Actn,CG4313,Vinc,dnc,norpA,Pdha,CG7024,CG34435,Act5C,CG3842,Marf,Ldsdh1,rdgA,CG42797,sev,hop,dlg1,CkIalpha,Ac13E,Graf,Nipsnap,CG32568,if,RSG7,CG43658,Pvf1,CG7378,Ulp1,Cp110,kis,wry,CG17237,dpp,Hrs,CG34393,Parp,conu,CG17528,Thor,CG8852,Cep97,Rtnl1,tkv,Lam,PDZ-GEF,nrv1,Ndae1,muc,Ziz,Btk29A,CG13398,Aldh,Cdk1,STUB1,Samuel,salr,Vha100-5,CG6766,CG6180,GABA-B-R1,Cul3,twe,CG4935,cact,Prosbeta4,Dif,dl,ham,mib2,Phlpp,CdGAPr,neb,dia,CG9265,Src42A,CG2065,CG2064,sax,Dgk,Cul1,CSN4,alc,hig,wun,Pdk,Mmp2,dap,Pka-R2,14-3-3zeta,PI31,CG8888,CG8878,wash,achi,Psc,tum,shot,Spred,Vha44,CG5550,RhoGEF2,Dhit,GEFmeso,CG15111,hts,Act57B,Prosalpha3,Egfr,PTP-ER,CG4021,GM130,CG11275,Prosbeta5R1,wmd,Pde8,gbb,gek,Slik,Rpn8,nSyb,alpha-Spec,Mrtf,Hsp83,Ubi-p63E,CG12766,CG10863,Tie,Txl,scny,Bre1,lqf,eIF4E5,pbl,eIF4E3,Oseg1,rhea,CG6527,IRSp53,Akr1B,sti,Exn,CycT,CG7497,Eip75B,PIG-F,Rnf146,Rpn1,Ac76E,gig,RhoBTB,VhaM9.7-b,MED1,laza,ArfGAP3,Cdep,Itpr,CG17917,CG10298,CG17919,alphaTub84D,CG2767,mAChR-B,CCT7,hyx,RhoL,p23,alphaTub85E,Octbeta2R,Vha55,CG9588,Abi,Dop1R1,stumps,Caf1-55,Tm2,CG5614,VhaM9.7-d,cher,Lgr1,CG43102,CG7794,14-3-3epsilon,Vha100-2,Dys,RhoGAP92B,Prosalpha4T1,SNF4Agamma,CG6569,Rpn7,CG17121,hh,fzo,CG31140,Miro,p38a,jar,Cad96Ca,Nf1,ball,CG31075,Ser,Mlc1,spg,Pkc98E,Cul5,Axn,Mlc2,tmod,CG12069,wts,CanA1,sip3,PlexB,Eph,mav,CaMKII,PlexA,Sox102F,nej,Rok,Pten,sls,Shc,spen,flw,Vha16-1,MAPk-Ak2,Apc,Vha36-1,for,Vha68-2,Sox100B,milt,mts,Fur1,Fkbp59,Su(z)12,RpII18,Act87E,Gprk2,PpD3,pont,CG34384,CG18815,CanA-14F","FBgn0265272,FBgn0028669,FBgn0053310,FBgn0260439,FBgn0259935,FBgn0037188,FBgn0000667,FBgn0025632,FBgn0004397,FBgn0000479,FBgn0262738,FBgn0028325,FBgn0029722,FBgn0085464,FBgn0000042,FBgn0029866,FBgn0029870,FBgn0029994,FBgn0261549,FBgn0261931,FBgn0003366,FBgn0004864,FBgn0001624,FBgn0015024,FBgn0022710,FBgn0030685,FBgn0030724,FBgn0052568,FBgn0001250,FBgn0024941,FBgn0263706,FBgn0030964,FBgn0030976,FBgn0027603,FBgn0031191,FBgn0266557,FBgn0051665,FBgn0031410,FBgn0000490,FBgn0031450,FBgn0085422,FBgn0010247,FBgn0039994,FBgn0261387,FBgn0261560,FBgn0031548,FBgn0031575,FBgn0053113,FBgn0003716,FBgn0002525,FBgn0265778,FBgn0015776,FBgn0259111,FBgn0283658,FBgn0260486,FBgn0003502,FBgn0032042,FBgn0012036,FBgn0004106,FBgn0027052,FBgn0032330,FBgn0000287,FBgn0032373,FBgn0032398,FBgn0032453,FBgn0260446,FBgn0261268,FBgn0002673,FBgn0028897,FBgn0000250,FBgn0032596,FBgn0011274,FBgn0260632,FBgn0045852,FBgn0086442,FBgn0032749,FBgn0032821,FBgn0004374,FBgn0011202,FBgn0032910,FBgn0264959,FBgn0033204,FBgn0033205,FBgn0003317,FBgn0085390,FBgn0015509,FBgn0027054,FBgn0260972,FBgn0010114,FBgn0016078,FBgn0017558,FBgn0033438,FBgn0010316,FBgn0022382,FBgn0004907,FBgn0033669,FBgn0033679,FBgn0027504,FBgn0033692,FBgn0033749,FBgn0005624,FBgn0086356,FBgn0013733,FBgn0020767,FBgn0262511,FBgn0034160,FBgn0023172,FBgn0028743,FBgn0050115,FBgn0034419,FBgn0263391,FBgn0000044,FBgn0261394,FBgn0003731,FBgn0016641,FBgn0034659,FBgn0034697,FBgn0034706,FBgn0034842,FBgn0034876,FBgn0266377,FBgn0024234,FBgn0023081,FBgn0035001,FBgn0002787,FBgn0013342,FBgn0250789,FBgn0052296,FBgn0001233,FBgn0003943,FBgn0035476,FBgn0027552,FBgn0014073,FBgn0035631,FBgn0260936,FBgn0086694,FBgn0028582,FBgn0035823,FBgn0003041,FBgn0265089,FBgn0265102,FBgn0260442,FBgn0036085,FBgn0052082,FBgn0086254,FBgn0002466,FBgn0261547,FBgn0025455,FBgn0036742,FBgn0000568,FBgn0036893,FBgn0036897,FBgn0028695,FBgn0004852,FBgn0005198,FBgn0036980,FBgn0028663,FBgn0037109,FBgn0037163,FBgn0037182,FBgn0265082,FBgn0010051,FBgn0037431,FBgn0037432,FBgn0037433,FBgn0003885,FBgn0037537,FBgn0037546,FBgn0037632,FBgn0037657,FBgn0014380,FBgn0037728,FBgn0003886,FBgn0038063,FBgn0005671,FBgn0038166,FBgn0020510,FBgn0011582,FBgn0020299,FBgn0263979,FBgn0004117,FBgn0038359,FBgn0038458,FBgn0014141,FBgn0016650,FBgn0262562,FBgn0038565,FBgn0020238,FBgn0028670,FBgn0260003,FBgn0038747,FBgn0265606,FBgn0264357,FBgn0038909,FBgn0028688,FBgn0039043,FBgn0004644,FBgn0011596,FBgn0051140,FBgn0039140,FBgn0015765,FBgn0011225,FBgn0022800,FBgn0015269,FBgn0027889,FBgn0051075,FBgn0004197,FBgn0002772,FBgn0264324,FBgn0003093,FBgn0039632,FBgn0026597,FBgn0002773,FBgn0082582,FBgn0039796,FBgn0011739,FBgn0010015,FBgn0039875,FBgn0025740,FBgn0025936,FBgn0039914,FBgn0264607,FBgn0025741,FBgn0039938,FBgn0261617,FBgn0026181,FBgn0026379,FBgn0086906,FBgn0015296,FBgn0016977,FBgn0000711,FBgn0262736,FBgn0013987,FBgn0015589,FBgn0022097,FBgn0000721,FBgn0263598,FBgn0024288,FBgn0262872,FBgn0004177,FBgn0004509,FBgn0029174,FBgn0020887,FBgn0003275,FBgn0000046,FBgn0261988,FBgn0005777,FBgn0040078,FBgn0085413,FBgn0042138,FBgn0267912"
"","REACTOME pathway","R-DME-168256","Immune System","848","234","6.973","1.2916","0.369","0.00000584052133796276","5.23354838506311","0.0071663196816803","0.00327509471471445","0.0251853164100024","CG32396,Vha100-3,Pp2A-29B,Vinc,CG11444,Act5C,Nep1,CG1440,l(3)72Dp,Spn75F,CG34120,Hexo2,CG42797,CG15211,sev,hop,CG2247,fw,Fer3HCH,CtsB1,CG4301,CG31445,Nepl3,CG32568,if,Tsf1,CG7378,AnxB10,HERC2,crq,IA-2,CG4238,CG2964,Btk29A,Trx-2,Ufd4,STUB1,LManII,Vha100-5,Nepl7,CG16957,Eato,Cul3,cact,Idgf2,Trpgamma,Prosbeta4,Dif,dl,kel,CG10602,mib2,Fs(2)Ket,Rhau,dia,Pld3,CG43366,Src42A,Spn42Db,Spn42Dc,Cul1,Pgi,Pgm2a,hig,Myd88,CG1827,Mmp2,Uba1,14-3-3zeta,Rab3,CG7220,PI31,CG8878,wash,Cam,Nepl10,CG17575,Mdr49,TppII,Mp20,Syngr,Uba3,shot,ATPCL,Ptp52F,Tsf3,Vha44,Idgf6,Dark,Rab4,Ubc10,nopo,tn,CG15117,EndoB,CG16799,Act57B,Prosalpha3,CG9485,dnr1,Ppa,Prosbeta5R1,CG3502,Meltrin,CG18128,Fatp3,Slik,Rpn8,CG42360,emp,CG9380,Glut1,Psa,nSyb,alpha-Spec,dsb,CG16758,Pxn,Hsp83,Ubi-p63E,nAChRbeta1,Tie,CG10226,unc-13-4A,eIF4E5,eIF4E3,CG44838,CG8072,IRSp53,Ube3a,CG32085,CG11658,CG42255,caps,bbg,sinah,Adgf-A,CG9451,Ltn1,Kap-alpha1,Rpn1,atk,park,VhaM9.7-b,CG11249,CG11247,nAChRalpha4,beta-Man,Skp2,Nep2,CG12163,Itpr,dgrn,Ubc84D,CG10086,CG3014,CG18268,Iru,CG8132,CG9427,FBXO11,scpr-C,scpr-A,CG42327,Ect3,Vha55,CG32473,GILT1,CG9588,Abi,stumps,VhaM9.7-d,CG17283,CG5860,CG5863,Vha100-2,Nep4,Prosalpha4T1,cDIP,CG31233,PyK,CG7069,Rpn7,Nepl15,unk,eIF4G2,Syx1A,p38a,Cad96Ca,CG5024,Ald1,Hex-t2,Lerp,ball,Gp93,Pkc98E,Cul5,Ctl2,Pglym78,CG12069,CanA1,eEF1alpha2,nej,Rok,Pten,Hex-C,Pgm1,Shc,Patj,Mgstl,Vha16-1,MAPk-Ak2,Vha36-1,abo,for,Vha68-2,capt,cathD,Aldh-III,Spn27A,Hex-A,mr,nec,mts,Gel,Act87E,Spn55B,SP1029,dbo,Jafrac2,CG41520,CG41378,CG18747,CanA-14F","FBgn0052396,FBgn0028669,FBgn0260439,FBgn0004397,FBgn0029715,FBgn0000042,FBgn0029843,FBgn0030038,FBgn0263607,FBgn0052203,FBgn0083956,FBgn0041629,FBgn0261931,FBgn0030234,FBgn0003366,FBgn0004864,FBgn0030320,FBgn0001083,FBgn0030449,FBgn0030521,FBgn0030747,FBgn0051445,FBgn0031678,FBgn0052568,FBgn0001250,FBgn0022355,FBgn0030976,FBgn0000084,FBgn0031107,FBgn0015924,FBgn0031294,FBgn0031384,FBgn0031462,FBgn0003502,FBgn0040070,FBgn0032208,FBgn0027052,FBgn0027611,FBgn0032373,FBgn0032442,FBgn0032519,FBgn0028539,FBgn0261268,FBgn0000250,FBgn0020415,FBgn0032593,FBgn0032596,FBgn0011274,FBgn0260632,FBgn0001301,FBgn0032721,FBgn0086442,FBgn0262743,FBgn0032883,FBgn0011202,FBgn0032923,FBgn0263109,FBgn0264959,FBgn0033112,FBgn0033113,FBgn0015509,FBgn0003074,FBgn0033377,FBgn0010114,FBgn0033402,FBgn0033431,FBgn0033438,FBgn0023143,FBgn0004907,FBgn0005586,FBgn0033544,FBgn0033669,FBgn0027504,FBgn0033692,FBgn0000253,FBgn0033742,FBgn0250842,FBgn0004512,FBgn0020370,FBgn0002789,FBgn0033876,FBgn0263697,FBgn0013733,FBgn0020236,FBgn0034085,FBgn0034094,FBgn0262511,FBgn0013763,FBgn0263864,FBgn0016701,FBgn0026316,FBgn0034314,FBgn0265356,FBgn0034417,FBgn0034433,FBgn0034538,FBgn0000044,FBgn0261394,FBgn0034618,FBgn0260866,FBgn0020257,FBgn0034842,FBgn0046253,FBgn0265140,FBgn0034898,FBgn0034999,FBgn0035001,FBgn0002787,FBgn0259742,FBgn0010435,FBgn0035094,FBgn0264574,FBgn0261243,FBgn0013342,FBgn0250789,FBgn0035290,FBgn0035348,FBgn0011828,FBgn0001233,FBgn0003943,FBgn0000038,FBgn0014073,FBgn0035695,FBgn0035756,FBgn0035823,FBgn0265089,FBgn0266101,FBgn0036070,FBgn0052082,FBgn0061469,FBgn0052085,FBgn0036196,FBgn0259140,FBgn0023095,FBgn0087007,FBgn0259794,FBgn0036752,FBgn0036876,FBgn0262517,FBgn0024889,FBgn0028695,FBgn0036995,FBgn0041100,FBgn0028663,FBgn0037115,FBgn0037120,FBgn0266347,FBgn0037215,FBgn0037236,FBgn0027570,FBgn0260462,FBgn0010051,FBgn0037384,FBgn0017456,FBgn0037517,FBgn0037519,FBgn0037520,FBgn0037653,FBgn0037687,FBgn0037721,FBgn0037760,FBgn0037879,FBgn0037889,FBgn0259227,FBgn0260746,FBgn0005671,FBgn0052473,FBgn0038149,FBgn0038166,FBgn0020510,FBgn0020299,FBgn0038458,FBgn0038505,FBgn0038506,FBgn0038507,FBgn0028670,FBgn0038818,FBgn0265606,FBgn0038865,FBgn0051233,FBgn0267385,FBgn0038952,FBgn0028688,FBgn0039024,FBgn0004395,FBgn0260634,FBgn0013343,FBgn0015765,FBgn0022800,FBgn0039373,FBgn0000064,FBgn0042710,FBgn0051072,FBgn0027889,FBgn0039562,FBgn0003093,FBgn0039632,FBgn0039637,FBgn0014869,FBgn0039796,FBgn0010015,FBgn0000557,FBgn0261617,FBgn0026181,FBgn0026379,FBgn0001187,FBgn0003076,FBgn0015296,FBgn0067864,FBgn0025814,FBgn0262736,FBgn0013987,FBgn0022097,FBgn0000018,FBgn0000721,FBgn0263598,FBgn0261458,FBgn0029093,FBgn0010548,FBgn0028990,FBgn0001186,FBgn0002791,FBgn0002930,FBgn0004177,FBgn0010225,FBgn0000046,FBgn0028983,FBgn0263236,FBgn0040230,FBgn0040308,FBgn0087011,FBgn0085638,FBgn0042104,FBgn0267912"
"","REACTOME pathway","R-DME-382551","Transport of small molecules","438","132","3.933","1.4106","0.496","0.00000800756653964413","5.09649944383739","0.00982528414414335","0.00327509471471445","0.0251853164100024","prt,Vha100-3,CG30345,Unc-115a,CG33310,CG33281,CG2930,NAAT1,Efr,Ctr1A,CG4607,CG34120,CG32847,sesB,CG1703,Fer3HCH,yl,sbm,CG4301,Tsf1,CG3164,Eaat2,Der-1,CG9664,Atet,Nhe3,nrv1,Ndae1,SLC5A11,CG7806,Npc1a,CG4995,Vha100-5,CG6766,Eato,CAH1,CG15279,Trpgamma,Prosbeta4,didum,Cul1,CNT1,CG8008,CG1698,Pka-R2,Drip,Tret1-1,PI31,ClC-b,AQP,CG4630,CG8249,Tsf3,Vha44,CG5348,CG43066,hts,CG10444,Prosalpha3,CG10505,dnr1,Prosbeta5R1,bw,Fatp3,Rpn8,Glut1,CG5687,CG1275,Ubi-p63E,CG5592,CG10486,Best2,path,CG43693,CG7888,NaPi-III,CG10960,mnd,Zip71B,Pex3,Best4,Best3,CG7255,CG6512,blot,Prestin,Indy,Rpn1,VhaM9.7-b,slif,CG44098,NKCC,CG1213,CG8112,CG31100,Unc-115b,Irp-1B,GC2,Vha55,CG9588,Hmt-1,glob1,CG6006,CG8925,Glut3,VhaM9.7-d,Sur-8,Vha100-2,CG16727,subdued,CG4562,Prosalpha4T1,Rpn7,Nha2,CG10175,CG5789,CG11069,LpR2,gb,Ctl2,rdog,CG12069,CG15553,ABCD,CaMKII,Vha16-1,Vha36-1,Vha68-2,trol,Atpalpha,SERCA,CG34308","FBgn0043005,FBgn0028669,FBgn0050345,FBgn0051352,FBgn0053310,FBgn0053281,FBgn0028491,FBgn0029762,FBgn0029849,FBgn0062413,FBgn0029932,FBgn0083956,FBgn0052847,FBgn0003360,FBgn0030321,FBgn0030449,FBgn0004649,FBgn0030574,FBgn0030747,FBgn0022355,FBgn0025683,FBgn0026438,FBgn0267972,FBgn0031515,FBgn0020762,FBgn0028703,FBgn0015776,FBgn0259111,FBgn0031998,FBgn0032018,FBgn0024320,FBgn0032219,FBgn0032373,FBgn0032398,FBgn0028539,FBgn0027844,FBgn0028886,FBgn0032593,FBgn0032596,FBgn0261397,FBgn0015509,FBgn0033371,FBgn0033387,FBgn0033443,FBgn0022382,FBgn0015872,FBgn0050035,FBgn0033669,FBgn0033755,FBgn0033807,FBgn0033809,FBgn0034045,FBgn0034094,FBgn0262511,FBgn0034156,FBgn0262476,FBgn0263391,FBgn0034494,FBgn0261394,FBgn0034612,FBgn0260866,FBgn0034842,FBgn0000241,FBgn0034999,FBgn0002787,FBgn0264574,FBgn0035293,FBgn0035321,FBgn0003943,FBgn0035645,FBgn0035647,FBgn0035696,FBgn0036007,FBgn0263776,FBgn0036116,FBgn0260795,FBgn0036316,FBgn0002778,FBgn0036461,FBgn0036484,FBgn0036491,FBgn0036492,FBgn0036493,FBgn0036702,FBgn0027660,FBgn0036770,FBgn0036816,FBgn0028695,FBgn0028663,FBgn0037203,FBgn0264907,FBgn0051547,FBgn0037387,FBgn0037612,FBgn0051100,FBgn0260463,FBgn0024957,FBgn0037970,FBgn0005671,FBgn0038166,FBgn0038376,FBgn0027657,FBgn0063649,FBgn0038404,FBgn0015230,FBgn0038458,FBgn0038504,FBgn0028670,FBgn0038719,FBgn0038721,FBgn0038740,FBgn0265606,FBgn0028688,FBgn0263390,FBgn0039084,FBgn0039207,FBgn0039244,FBgn0051092,FBgn0039487,FBgn0039637,FBgn0039644,FBgn0039796,FBgn0039817,FBgn0039890,FBgn0264607,FBgn0262736,FBgn0022097,FBgn0263598,FBgn0284408,FBgn0002921,FBgn0263006,FBgn0085337"
"","REACTOME pathway","R-DME-70326","Glucose metabolism","40","21","0.626","2.4573","1.297","0.0000144215353102954","4.84098850235614","0.0176952238257324","0.0044238059564331","0.034018849057602","Gapdh2,Got2,Pgk,CG2964,G6P,Pgi,Pgm2a,PCB,Got1,CG9010,CG11249,Mdh2,PyK,CG7069,Ald1,Hex-t2,Pglym78,Tpi,aralar1,Hex-C,Hex-A","FBgn0001092,FBgn0001125,FBgn0250906,FBgn0031462,FBgn0031463,FBgn0003074,FBgn0033377,FBgn0027580,FBgn0001124,FBgn0034173,FBgn0037115,FBgn0262559,FBgn0267385,FBgn0038952,FBgn0000064,FBgn0042710,FBgn0014869,FBgn0086355,FBgn0028646,FBgn0001187,FBgn0001186"
"","REACTOME pathway","R-DME-9716542","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","241","79","2.354","1.5343","0.618","0.0000228301590622033","4.64149106268425","0.0280126051693234","0.00560252103386468","0.0430831097182111","CG42458,Actn,CG34435,Act5C,Marf,dlg1,Graf,Nipsnap,CG43658,Ulp1,Cp110,CG17237,Hrs,conu,Cep97,Lam,Ndae1,Ziz,Cul3,twe,CdGAPr,neb,dia,CSN4,14-3-3zeta,wash,tum,shot,RhoGEF2,GEFmeso,hts,Act57B,GM130,gek,Slik,nSyb,alpha-Spec,Mrtf,Hsp83,Txl,Bre1,pbl,CG6527,IRSp53,sti,Exn,RhoBTB,ArfGAP3,Cdep,alphaTub84D,CCT7,RhoL,alphaTub85E,Abi,Tm2,cher,CG43102,CG7794,14-3-3epsilon,Dys,RhoGAP92B,CG6569,fzo,Miro,jar,ball,Ser,Mlc1,spg,Mlc2,tmod,PlexB,Eph,PlexA,Rok,spen,flw,milt,Act87E","FBgn0259935,FBgn0000667,FBgn0085464,FBgn0000042,FBgn0029870,FBgn0001624,FBgn0030685,FBgn0030724,FBgn0263706,FBgn0027603,FBgn0031191,FBgn0031410,FBgn0031450,FBgn0039994,FBgn0031575,FBgn0002525,FBgn0259111,FBgn0260486,FBgn0261268,FBgn0002673,FBgn0032821,FBgn0004374,FBgn0011202,FBgn0027054,FBgn0004907,FBgn0033692,FBgn0086356,FBgn0013733,FBgn0023172,FBgn0050115,FBgn0263391,FBgn0000044,FBgn0034697,FBgn0023081,FBgn0035001,FBgn0013342,FBgn0250789,FBgn0052296,FBgn0001233,FBgn0035631,FBgn0086694,FBgn0003041,FBgn0036085,FBgn0052082,FBgn0002466,FBgn0261547,FBgn0036980,FBgn0037182,FBgn0265082,FBgn0003885,FBgn0037632,FBgn0014380,FBgn0003886,FBgn0020510,FBgn0004117,FBgn0014141,FBgn0262562,FBgn0038565,FBgn0020238,FBgn0260003,FBgn0038747,FBgn0038909,FBgn0011596,FBgn0039140,FBgn0011225,FBgn0027889,FBgn0004197,FBgn0002772,FBgn0264324,FBgn0002773,FBgn0082582,FBgn0025740,FBgn0025936,FBgn0025741,FBgn0026181,FBgn0016977,FBgn0000711,FBgn0262872,FBgn0000046"
"","REACTOME pathway","R-DME-5362517","Signaling by Retinoic Acid","36","19","0.566","2.4703","1.305","0.0000334554763146535","4.47553278257268","0.0410498694380799","0.00684164490634665","0.052611911025677","Pdha,CG7024,CG3842,Ldsdh1,muc,Aldh,CG9265,CG2065,CG2064,Pdk,CG8888,CG12766,CG10863,Akr1B,Eip75B,PIG-F,CG2767,CG17121,CG31075","FBgn0028325,FBgn0029722,FBgn0029866,FBgn0029994,FBgn0283658,FBgn0012036,FBgn0032910,FBgn0033204,FBgn0033205,FBgn0017558,FBgn0033679,FBgn0035476,FBgn0027552,FBgn0086254,FBgn0000568,FBgn0036893,FBgn0037537,FBgn0039043,FBgn0051075"
"","REACTOME pathway","R-DME-70171","Glycolysis","27","15","0.447","2.6003","1.379","0.000105173594904711","3.97809328134764","0.12904800094808","0.0184354287068686","0.14176753516486","Gapdh2,Pgk,CG2964,Pgi,Pgm2a,CG9010,CG11249,PyK,CG7069,Ald1,Hex-t2,Pglym78,Tpi,Hex-C,Hex-A","FBgn0001092,FBgn0250906,FBgn0031462,FBgn0003074,FBgn0033377,FBgn0034173,FBgn0037115,FBgn0267385,FBgn0038952,FBgn0000064,FBgn0042710,FBgn0014869,FBgn0086355,FBgn0001187,FBgn0001186"
"","REACTOME pathway","R-DME-194315","Signaling by Rho GTPases","237","75","2.235","1.4812","0.567","0.000131528899611446","3.88097881323636","0.161385959823244","0.0201732449779055","0.155131256357983","CG42458,Actn,CG34435,Act5C,dlg1,Graf,Nipsnap,CG43658,Ulp1,Cp110,CG17237,Hrs,conu,Cep97,Lam,Ndae1,Ziz,Cul3,twe,CdGAPr,neb,dia,CSN4,14-3-3zeta,wash,tum,shot,RhoGEF2,GEFmeso,hts,Act57B,GM130,gek,Slik,nSyb,alpha-Spec,Mrtf,Hsp83,Txl,Bre1,pbl,CG6527,IRSp53,sti,Exn,RhoBTB,ArfGAP3,Cdep,alphaTub84D,CCT7,RhoL,alphaTub85E,Abi,Tm2,cher,CG43102,CG7794,14-3-3epsilon,Dys,RhoGAP92B,CG6569,jar,ball,Ser,Mlc1,spg,Mlc2,tmod,PlexB,Eph,PlexA,Rok,spen,flw,Act87E","FBgn0259935,FBgn0000667,FBgn0085464,FBgn0000042,FBgn0001624,FBgn0030685,FBgn0030724,FBgn0263706,FBgn0027603,FBgn0031191,FBgn0031410,FBgn0031450,FBgn0039994,FBgn0031575,FBgn0002525,FBgn0259111,FBgn0260486,FBgn0261268,FBgn0002673,FBgn0032821,FBgn0004374,FBgn0011202,FBgn0027054,FBgn0004907,FBgn0033692,FBgn0086356,FBgn0013733,FBgn0023172,FBgn0050115,FBgn0263391,FBgn0000044,FBgn0034697,FBgn0023081,FBgn0035001,FBgn0013342,FBgn0250789,FBgn0052296,FBgn0001233,FBgn0035631,FBgn0086694,FBgn0003041,FBgn0036085,FBgn0052082,FBgn0002466,FBgn0261547,FBgn0036980,FBgn0037182,FBgn0265082,FBgn0003885,FBgn0037632,FBgn0014380,FBgn0003886,FBgn0020510,FBgn0004117,FBgn0014141,FBgn0262562,FBgn0038565,FBgn0020238,FBgn0260003,FBgn0038747,FBgn0038909,FBgn0011225,FBgn0027889,FBgn0004197,FBgn0002772,FBgn0264324,FBgn0002773,FBgn0082582,FBgn0025740,FBgn0025936,FBgn0025741,FBgn0026181,FBgn0016977,FBgn0000711,FBgn0000046"
"","REACTOME pathway","R-DME-109582","Hemostasis","273","84","2.503","1.4402","0.526","0.000157591248242338","3.80246790452157","0.193364461593348","0.0214849401770387","0.165218127578906","CG32396,Actn,Vinc,spoon,Act5C,Marf,Spn75F,rdgA,His3.3B,CG31875,sev,hop,fw,if,Tsf1,Pvf1,AnxB10,crq,dpp,Ziz,CG14535,Tg,rdo,CG43366,Spn42Db,Spn42Dc,LRR,Dgk,hig,Pka-R2,14-3-3zeta,Sod3,Mp20,tum,Khc-73,Tsf3,CG5550,CG15111,Act57B,CG10505,gbb,emp,Klp61F,dsb,Tie,rhea,Tsp66E,Klp67A,flr,CG7497,Su(var)3-3,Sccpdh1,CG12163,Itpr,alphaTub84D,alphaTub85E,Adk3,CG9297,CG5903,cher,CG7794,Dys,CG4562,fzo,CG31140,CG5789,vig2,Cad96Ca,Ald1,SPARC,spg,Pkc98E,rdog,CG12069,mav,bt,Shc,Spn27A,nec,Act87E,SERCA,Spn55B,cmet,CG34384","FBgn0052396,FBgn0000667,FBgn0004397,FBgn0263987,FBgn0000042,FBgn0029870,FBgn0052203,FBgn0261549,FBgn0004828,FBgn0051875,FBgn0003366,FBgn0004864,FBgn0001083,FBgn0001250,FBgn0022355,FBgn0030964,FBgn0000084,FBgn0015924,FBgn0000490,FBgn0260486,FBgn0031955,FBgn0031975,FBgn0243486,FBgn0263109,FBgn0033112,FBgn0033113,FBgn0033212,FBgn0085390,FBgn0010114,FBgn0022382,FBgn0004907,FBgn0033631,FBgn0002789,FBgn0086356,FBgn0019968,FBgn0034094,FBgn0034160,FBgn0034419,FBgn0000044,FBgn0034612,FBgn0024234,FBgn0010435,FBgn0004378,FBgn0035290,FBgn0014073,FBgn0260442,FBgn0035936,FBgn0004379,FBgn0260049,FBgn0036742,FBgn0260397,FBgn0037298,FBgn0260462,FBgn0010051,FBgn0003885,FBgn0003886,FBgn0042094,FBgn0038181,FBgn0038400,FBgn0014141,FBgn0038565,FBgn0260003,FBgn0038740,FBgn0011596,FBgn0051140,FBgn0039207,FBgn0046214,FBgn0022800,FBgn0000064,FBgn0026562,FBgn0264324,FBgn0003093,FBgn0039644,FBgn0039796,FBgn0039914,FBgn0005666,FBgn0015296,FBgn0028990,FBgn0002930,FBgn0000046,FBgn0263006,FBgn0028983,FBgn0040232,FBgn0085413"
"","REACTOME pathway","R-DME-68875","Mitotic Prophase","49","22","0.656","2.1015","1.071","0.000191054462464197","3.71884281402926","0.23442382544357","0.023442382544357","0.180270762592411","Nup153,Lam,Cdk1,Nup160,Gp210,Nup50,Lpin,Nup54,Nup75,GM130,CycB,Grasp65,polo,mbo,Rab1,Nup98-96,Ndc1,Nup358,Sec13,mud,gwl,Nup214","FBgn0061200,FBgn0002525,FBgn0004106,FBgn0262647,FBgn0266580,FBgn0033264,FBgn0263593,FBgn0033737,FBgn0034310,FBgn0034697,FBgn0000405,FBgn0036919,FBgn0003124,FBgn0026207,FBgn0285937,FBgn0039120,FBgn0039125,FBgn0039302,FBgn0024509,FBgn0002873,FBgn0260399,FBgn0010660"
